command,text_orig,a,r,g,b,fadetime,block,image,width,height,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,name,options,values,references,option_number,index,text,jp_text,jp_name,text_match
blocker,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,,,,bg_abyss_1,1.7,1.7,,,,,,,,,,,,,,0,1,,,,False
blocker,,0,,,,0.6,false,,,,,,,,,,,,,,,,,0,2,,,,False
imagetween,,,,,,,false,,,,0,0,0,-20,1,1,1.1,1.1,15,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,,,,,,char_007_closre_1#3,,,,0,4,,,,False
name,诶，好久不见啊，亲爱的博士。收到我发给你的信了吗？,,,,,,,,,,,,,,,,,,,？？？,,,,0,5,诶，好久不见啊，亲爱的博士。收到我发给你的信了吗？,あれ、久しぶりですね、親愛なるドクター。私が送った手紙は届きましたか？,？？？,True
decision,没有收到,,,,,,,,,,,,,,,,,,,,没有收到;收到了,1;2,,2,6,没有收到,届いていません,,True
decision,收到了,,,,,,,,,,,,,,,,,,,,没有收到;收到了,1;2,,2,7,收到了,届きました,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,1,0,8,,,,False
character,,,,,,,,,,,,,,,,,,,,char_007_closre_1#3,,,,0,9,,,,False
name,唔......没关系，看来这和我估计的情况相差还挺远的。,,,,,,,,,,,,,,,,,,,？？？,,,,0,10,唔......没关系，看来这和我估计的情况相差还挺远的。,うーん……大丈夫です、どうやらこれは私が予想していた状況とはかなり違うようですね。,？？？,True
name,总之，不要在意信了，就当它没有存在过吧。,,,,,,,,,,,,,,,,,,,？？？,,,,0,11,总之，不要在意信了，就当它没有存在过吧。,とにかく、手紙のことは気にしないで、それが存在しなかったものだと思ってください。,？？？,True
predicate,,,,,,,,,,,,,,,,,,,,,,,2,0,12,,,,False
character,,,,,,,,,,,,,,,,,,,,char_007_closre_1#3,,,,0,13,,,,False
name,噢噢，真不愧是博士......我知道你能办到。这可不是一件轻而易举的事情。,,,,,,,,,,,,,,,,,,,？？？,,,,0,14,噢噢，真不愧是博士......我知道你能办到。这可不是一件轻而易举的事情。,おお、さすがドクター……あなたならできるとわかっていました。これは簡単なことではありません。,？？？,True
name,感觉只要再相处一段时间，我们就能有更多更深的共同语言了。,,,,,,,,,,,,,,,,,,,？？？,,,,0,15,感觉只要再相处一段时间，我们就能有更多更深的共同语言了。,もう少し一緒に過ごせば、もっとたくさんの深い共通点が持てる気がします。,？？？,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
name,嘿嘿，对了。你知道吗，虽然我是罗德岛舰船可靠性工程师......不过我同时也需要负责管理采购。,,,,,,,,,,,,,,,,,,,？？？,,,,0,17,嘿嘿，对了。你知道吗，虽然我是罗德岛舰船可靠性工程师......不过我同时也需要负责管理采购。,えへへ、そういえば。知っていますか、私はロドスの艦船信頼性エンジニアですが……同時に調達の管理も担当しています。,？？？,True
name,啊啊————！这里实在太暗了，这可不是增进感情的好地方。来吧博士，换个地方，我准备了一些新东西给你瞧瞧。,,,,,,,,,,,,,,,,,,,？？？,,,,0,18,啊啊————！这里实在太暗了，这可不是增进感情的好地方。来吧博士，换个地方，我准备了一些新东西给你瞧瞧。,ああ―――！ここは本当に暗すぎますね、これじゃ親睦を深めるのには良い場所ではありません。さあドクター、場所を変えましょう。新しいものをいくつか用意していますので見てくださいね。,？？？,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
