command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,block,index,text,jp_text,jp_name,text_match
header,第二十四关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_wild_m,1,1,1,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,2,,4,,,,False
name,你终于到了，星熊。,,,,,,,,,,,,,,陈,,,,5,你终于到了，星熊。,ようやく来たな、ホシグマ。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,1,,6,,,,False
name,抱歉，被那个人拖了好久。,,,,,,,,,,,,,,星熊,,,,7,抱歉，被那个人拖了好久。,ごめん、あの人にだいぶ足止めされた。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,2,,8,,,,False
name,有没有受伤？,,,,,,,,,,,,,,陈,,,,9,有没有受伤？,ケガはないか？,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,1,,10,,,,False
name,没有。,,,,,,,,,,,,,,星熊,,,,11,没有。,ないよ。,ホシグマ,True
name,但我确实被那个感染者的实力吓了一跳。,,,,,,,,,,,,,,星熊,,,,12,但我确实被那个感染者的实力吓了一跳。,でも、あの感染者の実力には本当に驚かされたよ。,ホシグマ,True
name,特别督察组加强了对龙门本区的防守。,,,,,,,,,,,,,,星熊,,,,13,特别督察组加强了对龙门本区的防守。,特別督察組は龍門本区の防御を強化したんだ。,ホシグマ,True
name,我带出来的这些，就是全部可用的小队了。,,,,,,,,,,,,,,星熊,,,,14,我带出来的这些，就是全部可用的小队了。,私が連れてきたのは、今使える部隊の全てだ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,2,,15,,,,False
name,......特别督察组，真的是被她一个人阻挡住了？,,,,,,,,,,,,,,陈,,,,16,......特别督察组，真的是被她一个人阻挡住了？,……特別督察組が、まさか彼女一人に足止めされたのか？,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,1,,17,,,,False
name,没亲眼见过之前，我也不敢相信。,,,,,,,,,,,,,,星熊,,,,18,没亲眼见过之前，我也不敢相信。,実際に見るまでは、私も信じられなかったよ。,ホシグマ,True
name,那个家伙，确实有这个水准。,,,,,,,,,,,,,,星熊,,,,19,那个家伙，确实有这个水准。,あいつは、本当にその実力がある。,ホシグマ,True
name,而且，她甚至有些......心不在焉？,,,,,,,,,,,,,,星熊,,,,20,而且，她甚至有些......心不在焉？,しかも、なんだか……注意散漫って感じだった？,ホシグマ,True
name,话说回来，你身边这些人——,,,,,,,,,,,,,,星熊,,,,21,话说回来，你身边这些人——,ところで、お前のそばにいるこの人たちは——,ホシグマ,True
name,是不是就是罗德岛啊？,,,,,,,,,,,,,,星熊,,,,22,是不是就是罗德岛啊？,この人たちがロドスなのか？,ホシグマ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,23,,,,False
name,陈长官，这位是......,,,,,,,,,,,,,,阿米娅,,,,24,陈长官，这位是......,チェン長官、この方は……,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,2,,25,,,,False
name,特别督察组的精英，星熊。,,,,,,,,,,,,,,陈,,,,26,特别督察组的精英，星熊。,特別督察組のエリート、ホシグマだ。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,1,,27,,,,False
name,你们就是罗德岛？,,,,,,,,,,,,,,星熊,,,,28,你们就是罗德岛？,君たちがロドスなのか？,ホシグマ,True
name,咦，这么小的孩子，也是罗德岛的人吗？,,,,,,,,,,,,,,星熊,,,,29,咦，这么小的孩子，也是罗德岛的人吗？,えっ、こんな小さい子もロドスのメンバーなのか？,ホシグマ,True
character,,,,,,,,,,,,,,,char_010_chen_1,,,,30,,,,False
name,她可是领导人。,,,,,,,,,,,,,,陈,,,,31,她可是领导人。,彼女はリーダーだぞ。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,32,,,,False
name,陈，陈长官。,,,,,,,,,,,,,,阿米娅,,,,33,陈，陈长官。,チェン、チェン長官。,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,34,,,,False
name,哇......,,,,,,,,,,,,,,星熊,,,,35,哇......,わあ……,ホシグマ,True
name,不问别的。,,,,,,,,,,,,,,星熊,,,,36,不问别的。,他は聞かないよ。,ホシグマ,True
name,现在，你们有什么思路？,,,,,,,,,,,,,,星熊,,,,37,现在，你们有什么思路？,さて、今どうするつもりだ？,ホシグマ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,38,,,,False
name,两位我方的特别行动人员，已经探明了劫持者的去向。,,,,,,,,,,,,,,阿米娅,,,,39,两位我方的特别行动人员，已经探明了劫持者的去向。,私たちの特別行動隊員2人が、犯人の行き先を突き止めました。,アーミヤ,True
