command,text_orig,key,is_skippable,fit_mode,time,intro,volume,a,r,g,b,fadetime,block,image,screenadapt,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
playmusic,,$drift_loop,,,,$drift_intro,0.4,,,,,,,,,,,,,,,,,,4,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,False
blocker,,,,,,,,1,0,0,0,1,true,,,,,,,,,,,,8,,,,False
background,,,,,,,,,,,,,,bg_snow_2,coverall,,,,,,,,,,9,,,,False
blocker,,,,,,,,0,0,0,0,2,true,,,,,,,,,,,,10,,,,False
,晖洁：,,,,,,,,,,,,,,,,,,,,,,,,11,,,,False
,老爷爷，根据我那点不怎么牢靠的记忆，是叫伊万·伊贾斯拉夫。,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
,是个很常见的名字。他也是个随处可见的农民。,,,,,,,,,,,,,,,,,,,,,,,,13,,,,False
,但他牺牲了自己。出于种种，他牺牲了自己的性命......,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
,我偶尔会想，我是不是真的值得别人牺牲性命？,,,,,,,,,,,,,,,,,,,,,,,,15,,,,False
,阿丽娜随我一起行动。这个人虽然大多时候都很柔和，有时候却突然地尖酸起来，让我感觉很不舒服。,,,,,,,,,,,,,,,,,,,,,,,,16,,,,False
,计划顺利地推进着。,,,,,,,,,,,,,,,,,,,,,,,,17,,,,False
,按照我的想法，很快，这一部分的感染者，一定会团结起来。,,,,,,,,,,,,,,,,,,,,,,,,18,,,,False
,希望这确实有效。,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
,也希望爷爷能够安眠。除了老奶奶，我没有比他更亲的亲人。,,,,,,,,,,,,,,,,,,,,,,,,20,,,,False
,2月7日,,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,False
blocker,,,,,,,,1,0,0,0,2,true,,,,,,,,,,,,23,,,,False
background,,,,,,,,,,,,,,bg_iceforest_1,coverall,,,,,,,,,,24,,,,False
blocker,,,,,,,,0,0,0,0,3,true,,,,,,,,,,,,25,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,26,,,,False
,脱离黑蛇第三年,,,,,,,,,,,,,,,,,,,,,,,,27,,,,False
character,,,,,,,,,,,,,,,,avg_npc_078,,,,,,,,,28,,,,False
name,先生，我是......,,,,,,,,,,,,,,,塔露拉,,,,,,,,,29,先生，我是......,ドクター、私です……。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_094,avg_npc_078,1,,,,,,,30,,,,False
name,你来这干什么？你这身衣服，你是哪的军官老爷？,,,,,,,,,,,,,,,感染者,,,,,,,,,31,你来这干什么？你这身衣服，你是哪的军官老爷？,ここに何しに来たんだ？その服装はどこの軍の将校様だ？,感染者,True
name,回去吧！这里已经啥都不剩了。全被你们抢走了！你们抢不走的，还都烧光了！,,,,,,,,,,,,,,,感染者,,,,,,,,,32,回去吧！这里已经啥都不剩了。全被你们抢走了！你们抢不走的，还都烧光了！,帰れ！ここにはもう何も残っていない。全部お前たちに奪われた！奪えないものは全部焼き払われた！,感染者,True
name,混蛋！你来是要杀我吗？那你就杀吧！你们这些天杀的恶鬼！,,,,,,,,,,,,,,,感染者,,,,,,,,,33,混蛋！你来是要杀我吗？那你就杀吧！你们这些天杀的恶鬼！,くそったれ！殺しに来たのか？なら殺してみろ！お前たち天に呪われた悪鬼どもめ！,感染者,True
character,,,,,,,,,,,,,,,,avg_npc_094,avg_npc_078,2,,,,,,,34,,,,False
name,不，先生，我是来告诉你，感染者纠察队今天会来这里。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,35,不，先生，我是来告诉你，感染者纠察队今天会来这里。,いいえ、ドクター、私は感染者取り締まり隊が今日ここに来ることをお知らせに来ました。,タルラ,True
