command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,x,y,xScale,yScale,screenadapt,index,text,jp_text,jp_name,text_match
header,第六关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$escape_loop,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,2,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,0.5,,,,,,,,,,,,,,,,,,3,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,False
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,5,,,,False
name,侦查完毕，确认敌追击部队已被我方全歼。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,6,侦查完毕，确认敌追击部队已被我方全歼。,偵察完了。敵の追撃部隊は、我々によって全滅したことを確認したわ。,ドーベルマン,True
name,我们成功突围，现在已经基本脱离了切尔诺伯格上城区。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,7,我们成功突围，现在已经基本脱离了切尔诺伯格上城区。,私たちはうまく突破できて、今はほぼチェルノボーグ上層区を離脱したわ。,ドーベルマン,True
character,,,,,,,,,,,,,,char_014_riope,char_130_doberm_ex,1,,,,,,,,,,,,8,,,,False
name,虽然我们消灭的，只是包围阵势中一小部分的兵力......,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,9,虽然我们消灭的，只是包围阵势中一小部分的兵力......,とはいえ、我々が撃破したのは包囲陣のごく一部の戦力に過ぎないが……,エース,True
name,但至少，我们暂时安全了。,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,10,但至少，我们暂时安全了。,それでも、しばらくは安全だ。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1,2,,,,,,,,,,,,11,,,,False
name,谢谢你刚才的援助，临光不会忘记这份恩情。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,12,谢谢你刚才的援助，临光不会忘记这份恩情。,さっきの援護、本当にありがとう。この恩は忘れないわ。,ニアール,True
character,,,,,,,,,,,,,,char_014_riope,char_148_nearl_1,1,,,,,,,,,,,,13,,,,False
