command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,widgetID,style,fadestyle,offsetx,block,name2,focus,a,initr,r,g,b, name,index,text,jp_text,jp_name,text_match
header,第十六关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_indoor_2,1,1,1,coverall,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,4,,,,False
name,——就是这样，陈长官。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,5,——就是这样，陈长官。,——以上です、チェン長官。,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,6,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,7,,,,False
charactercutin,,,,,,200,,0.5,,,,,,,char_010_chen_1,1,cutin,horiz_expand_center,-300,true,,,,,,,,,8,,,,False
name,收到。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,9,收到。,了解した。,チェン,True
name,近卫局会保证汇合地点的安全，等候你们护送目标抵达。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,10,近卫局会保证汇合地点的安全，等候你们护送目标抵达。,近衛局は集合地点の安全を確保し、君たちが目標を護送して到着するのを待つ。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,11,,,,False
name,明白。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,12,明白。,了解しました。,アーミヤ,True
name,芙兰卡，把侦查小队绘制的地图给我——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,13,芙兰卡，把侦查小队绘制的地图给我——,フランカ、偵察チームが作成した地図を渡して——,アーミヤ,True
name,嗯，这样就行。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,14,嗯，这样就行。,うん、これで大丈夫。,アーミヤ,True
name,我们会沿最短路径离开贫民区。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,15,我们会沿最短路径离开贫民区。,私たちは最短ルートでスラム街を出ます。,アーミヤ,True
name,（还有其他指示吗，陈长官？）,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,16,（还有其他指示吗，陈长官？）,（他に指示はありますか、チェン長官？）,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,17,,,,False
name,动作快点。时间不等人。通话结束。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,18,动作快点。时间不等人。通话结束。,急げ。時間は待ってくれない。通話を終わる。,チェン,True
name,——收队！别磨蹭！！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,19,——收队！别磨蹭！！,——部隊、撤収！ぐずぐずするな！！,チェン,True
name,......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,20,......,……,チェン,True
playsound,,$d_gen_transmissionget,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,21,,,,False
charactercutin,,,,,,,,0.5,,,,,,,,1,,,,true,,,,,,,,,22,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,23,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,24,......,……,アーミヤ,True
name,.......呼，挂断了......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,25,.......呼，挂断了......,.......ふぅ、切られた......,アーミヤ,True
