command,text,name,option_number,option_value,references,image,values,jp_text,jp_name
header,,,0,,,,,,
stopmusic,,,0,,,,,,
delay,,,0,,,,,,
character,,,0,,,,,,
blocker,,,0,,,,,,
,切尔诺伯格地下基建,,0,,,,,チェルノブイリ地下インフラ,
,10:30 a.m.,,0,,,,,10:30 a.m.,
dialog,,,0,,,,,,
character,,,0,,,,,,
blocker,,,0,,,,,,
background,,,0,,,bg_cherunder,,,
blocker,,,0,,,,,,
playmusic,,,0,,,,,,
character,,char_003_kalts_1,0,,,,,,
delay,,,0,,,,,,
decision,你在这，是在等我？,,1,1,,,1,ここにいるのは、私を待っていたのですか？,
predicate,,,0,,1,,,,
name,是。,凯尔希,0,,,,,そうです。,ケルシー
decision,找你花了我很长时间。,,1,1,,,1,あなたを探すのにずいぶん時間がかかりました。,
predicate,,,0,,1,,,,
name,我们会在环境信息汇总完毕后开始行动。在这之前，更多地向你描述一些核心城内的现状会对你有帮助。,凯尔希,0,,,,,環境情報の集約が終わり次第、行動を開始します。その前に、核心都市内の現状をもう少し説明することで、あなたの助けになるでしょう。,ケルシー
name,阿米娅还要处理现场，这次讨论，她就不参加了。,凯尔希,0,,,,,アーミヤは現場の処理があるので、今回の話し合いには参加しません。,ケルシー
name,任务简报你都已经看过。但那些资料对于你的头脑来说，并不够多。,凯尔希,0,,,,,タスクのブリーフィングはすでにご覧になっていますが、それらの資料はあなたの頭脳には十分ではありません。,ケルシー
decision,你终于意识到需要我了？,,3,1,,,1;2;3,やっと私が必要だと気づいたのですか？,
decision,......,,3,2,,,1;2;3,……,
decision,我还以为你当我只会战地指挥。,,3,3,,,1;2;3,あなたは私のことを戦場指揮官としてしか見ていないと思っていました。,
predicate,,,0,,1,,,,
name,如果最坏的情况发生，我不希望你牺牲的不明不白。,凯尔希,0,,,,,最悪の事態が発生した場合、あなたが理由もなく犠牲になることは望みません。,ケルシー
predicate,,,0,,2,,,,
name,如果你对我五官中的某个部分很在意，可以直接指出来。不用一直盯着我看。,凯尔希,0,,,,,私の顔のどこかが気になるなら、直接指摘してください。じっと見つめなくてもいいですよ。,ケルシー
predicate,,,0,,3,,,,
name,虽然你可能忘了，但我记得。我记得你相当擅长在凌晨四点时，用沸腾的饮用水直接在口腔中加热速食食品。,凯尔希,0,,,,,あなたは忘れているかもしれませんが、私は覚えています。あなたが午前4時に沸騰した飲料水でインスタント食品を口の中で温めるのが得意だったことを。,ケルシー
name,至于是不是真的，你也许可以试试。,凯尔希,0,,,,,本当かどうかは、自分で試してみてもいいでしょう。,ケルシー
predicate,,,0,,1;2;3,,,,
name,不说闲话。我们的时间没有多充裕。,凯尔希,0,,,,,無駄話はやめましょう。私たちには時間の余裕があまりありません。,ケルシー
name,罗德岛与近卫局在龙门合作击败了整合运动，击溃了“梅菲斯特”和“弑君者”带领的武装力量。,凯尔希,0,,,,,ロドスと近衛局は龍門で協力し、メフィストと君主殺しが率いた武装勢力を打ち破りました。,ケルシー
name,这之后，整合运动在龙门的部署已经全部失效。,凯尔希,0,,,,,その後、統合運動の龍門での配置はすべて無効になりました。,ケルシー
name,阿米娅向我报告过，你们与整合运动的特殊小队指挥官，别称“霜星”的感染者，在龙门城邦的底部展开了殊死搏斗。,凯尔希,0,,,,,アーミヤから報告を受けましたが、あなた方が統合運動の特殊部隊指揮官、通称「フロストノヴァ」と死闘を繰り広げました。,ケルシー
name,战斗以你们的胜利告终。,凯尔希,0,,,,,その戦いはあなたたちの勝利で終わりました。,ケルシー
