command,text_orig,key,is_skippable,fit_mode,time,intro,volume,a,r,g,b,fadetime,block,image,screenadapt,options,values,references,name,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,Delay,xstrength,ystrength,vibrato,randomness,fadeout,effect,keep,amount,initr,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
playmusic,,$mist_loop,,,,$mist_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
blocker,,,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
background,,,,,,,,,,,,,,bg_cherunder_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
blocker,,,,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
,中央区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
,一段时间之前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
decision,为什么你认定阿米娅她们在指挥塔前......,,,,,,,,,,,,,,,为什么你认定阿米娅她们在指挥塔前......,1,,,,,,,,,,,,,,,,,,,,,,1,15,为什么你认定阿米娅她们在指挥塔前......,なぜあなたはアーミヤたちが指揮塔の前にいると決めつけるのですか……,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
decision,不会遭遇塔露拉的精锐部队？,,,,,,,,,,,,,,,不会遭遇塔露拉的精锐部队？,1,,,,,,,,,,,,,,,,,,,,,,1,17,不会遭遇塔露拉的精锐部队？,タルラの精鋭部隊に遭遇しないと？,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
character,,,,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,0,19,,,,False
name,这正是阴谋家的难处。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,20,这正是阴谋家的难处。,これこそが陰謀者の苦しみです。,ケルシー,True
name,一个军阀，或者一个暴虐且狡诈的君王，他们的要塞向来易守难攻。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,21,一个军阀，或者一个暴虐且狡诈的君王，他们的要塞向来易守难攻。,軍閥か、あるいは暴虐で狡猾な君主であれば、彼らの要塞は守りやすく攻めにくいものです。,ケルシー,True
name,他们知道自己的所作所为一定会遭到疯狂的报复，他们会用优势的兵力和先进的武器，布置坚实的防守。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,22,他们知道自己的所作所为一定会遭到疯狂的报复，他们会用优势的兵力和先进的武器，布置坚实的防守。,彼らは自分たちの行いが必ず激しい報復を受けることを知っており、有利な兵力と先進的な武器でしっかりと防御を固めます。,ケルシー,True
name,可是，既然塔露拉的暴君行径已经被证实是种表演，那么，她不会这么做。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,23,可是，既然塔露拉的暴君行径已经被证实是种表演，那么，她不会这么做。,でも、タルラの暴君としての振る舞いが演技だと証明された以上、彼女はそうはしません。,ケルシー,True
decision,你哪来的自信？,,,,,,,,,,,,,,,你哪来的自信？;......;我想听听理由。,1;2;3,,,,,,,,,,,,,,,,,,,,,,3,24,你哪来的自信？,どこからその自信が来るのですか？,,True
decision,......,,,,,,,,,,,,,,,你哪来的自信？;......;我想听听理由。,1;2;3,,,,,,,,,,,,,,,,,,,,,,3,25,......,......,,True
decision,我想听听理由。,,,,,,,,,,,,,,,你哪来的自信？;......;我想听听理由。,1;2;3,,,,,,,,,,,,,,,,,,,,,,3,26,我想听听理由。,理由を聞きたいです。,,True
predicate,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
name,经验，理论，现象。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,28,经验，理论，现象。,経験、理論、現象。,ケルシー,True
name,我没有自信，我只是能推演出事实。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,29,我没有自信，我只是能推演出事实。,私は自信があるわけではありません。ただ事実を推論できるだけです。,ケルシー,True
predicate,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
name,......我其实也期待你能给出自己的意见。,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,31,......我其实也期待你能给出自己的意见。,......実はあなたが自分の意見を出してくれることも期待しています。,ケルシー,True
name,或者，你觉得沉默就已经是种意见了？,,,,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,0,32,或者，你觉得沉默就已经是种意见了？,あるいは、沈黙こそがすでに一つの意見だと思いますか？,ケルシー,True
