command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,intro,volume,crossfade,delay,time,name2,focus,options,values,references,block,option_number,index,text,jp_text,jp_name,text_match
header,第八关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,0,0,,,,False
name,时间未知 \ 天气未知 \ 能见度 低,,,,,,,,,,,,,,,,,,,,0,1,时间未知 \\ 天气未知 \\ 能见度 低,時間不明 // 天気不明 // 視界不良,,False
name,切尔诺伯格 行动组E0所在地,,,,,,,,,,,,,,,,,,,,0,2,切尔诺伯格 行动组E0所在地,チェルノボーグ 作戦チームE0所在,,True
name,博士营救行动 第三阶段,,,,,,,,,,,,,,,,,,,,0,3,博士营救行动 第三阶段,ドクター救出作戦 第三段階,,True
background,,,,,,bg_cher_1,1,1,1,,,,,,,,,,,,0,4,,,,False
playmusic,,$chernormal_loop,,,,,,,,$chernormal_intro,0.8,1,0.5,,,,,,,,0,5,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,0,6,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,7,,,,False
name,还剩不到一个小时，没时间从其他区域绕行了......,,,,杜宾,,,,,,,,,,,,,,,,0,8,还剩不到一个小时，没时间从其他区域绕行了......,残り1時間もありません。他のエリアを迂回する時間はありません……,ドーベルマン,True
name,我们浪费的时间越多，天灾在我们头顶发生的可能性就越大。,,,,杜宾,,,,,,,,,,,,,,,,0,9,我们浪费的时间越多，天灾在我们头顶发生的可能性就越大。,時間を無駄にすればするほど、天災が私たちの頭上で起きる可能性が高くなります。,ドーベルマン,True
name,必须直接穿过当前区域。,,,,杜宾,,,,,,,,,,,,,,,,0,10,必须直接穿过当前区域。,このエリアを直接突破するしかありません。,ドーベルマン,True
name,以我们现在的规模，团队行动难免会被发觉。,,,,杜宾,,,,,,,,,,,,,,,,0,11,以我们现在的规模，团队行动难免会被发觉。,今の規模では、チームで動けば必ず見つかってしまいます。,ドーベルマン,True
name,在狭窄的街巷中行动，很容易被埋伏包夹......,,,,杜宾,,,,,,,,,,,,,,,,0,12,在狭窄的街巷中行动，很容易被埋伏包夹......,狭い路地で行動すると、簡単に待ち伏せや挟撃を受けてしまいます……,ドーベルマン,True
character,,,,,char_148_nearl_1,,,,,,,,,,char_130_doberm_ex,1,,,,,0,13,,,,False
name,怎么办？,,,,临光,,,,,,,,,,,,,,,,0,14,怎么办？,どうする？,ニアール,True
character,,,,,char_148_nearl_1,,,,,,,,,,char_130_doberm_ex,2,,,,,0,15,,,,False
name,选择不多......,,,,杜宾,,,,,,,,,,,,,,,,0,16,选择不多......,選択肢は多くありません……,ドーベルマン,True
name,博士，你的想法呢？,,,,杜宾,,,,,,,,,,,,,,,,0,17,博士，你的想法呢？,ドクター、あなたの考えは？,ドーベルマン,True
decision,敌人想组织反击也需要时间。,,,,,,,,,,,,,,,,正面碾压过去就好！;......大概，他们也没法阻拦......;敌人想组织反击也需要时间。,1;2;3,,,3,18,敌人想组织反击也需要时间。,敵が反撃を組織するにも時間がかかる。,,True
decision,正面碾压过去就好！,,,,,,,,,,,,,,,,正面碾压过去就好！;......大概，他们也没法阻拦......;敌人想组织反击也需要时间。,1;2;3,,,3,19,正面碾压过去就好！,正面から押し切ればいい！,,True
decision,......大概，他们也没法阻拦......,,,,,,,,,,,,,,,,正面碾压过去就好！;......大概，他们也没法阻拦......;敌人想组织反击也需要时间。,1;2;3,,,3,20,......大概，他们也没法阻拦......,……たぶん、彼らも止められないでしょう……,,True
predicate,,,,,,,,,,,,,,,,,,,1,,0,21,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,22,,,,False
name,整合运动的个人实力并不能和我们相提并论。,,,,杜宾,,,,,,,,,,,,,,,,0,23,整合运动的个人实力并不能和我们相提并论。,レユニオンの個々の戦力は私たちと比べ物になりません。,ドーベルマン,True
name,大多数情况下，都只是在依赖人海战术围攻我们。,,,,杜宾,,,,,,,,,,,,,,,,0,24,大多数情况下，都只是在依赖人海战术围攻我们。,ほとんどの場合、彼らは人数に頼った攻撃で私たちを包囲しています。,ドーベルマン,True
character,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,0,25,,,,False
name,依靠速度，不断前进，尽量减少一次性交战的人数的话——,,,,临光,,,,,,,,,,,,,,,,0,26,依靠速度，不断前进，尽量减少一次性交战的人数的话——,スピードを活かして進み続けて、一度に交戦する敵の数を減らせれば——,ニアール,True
predicate,,,,,,,,,,,,,,,,,,,2,,0,27,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,28,,,,False
name,他们并没有构筑防御工事。,,,,杜宾,,,,,,,,,,,,,,,,0,29,他们并没有构筑防御工事。,彼らは防御陣を構築していません。,ドーベルマン,True
character,,,,,char_148_nearl_1,,,,,,,,,,,,,,,,0,30,,,,False
name,如果我们突袭他们的封锁线......,,,,临光,,,,,,,,,,,,,,,,0,31,如果我们突袭他们的封锁线......,もし私たちが彼らの封鎖線を急襲すれば……,ニアール,True
