command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,screenadapt,time,intro,volume,crossfade,delay,a,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
name,时间未知 \ 天气未知 \ 能见度 低,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,时间未知 \\ 天气未知 \\ 能见度 低,時間不明 \\ 天気不明 \\ 視界 悪い,,False
name,切尔诺伯格 行动组E0所在地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,切尔诺伯格 行动组E0所在地,チェルノボーグ 作戦グループE0の所在場所,,True
name,博士营救行动 最终撤退阶段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,博士营救行动 最终撤退阶段,ドクター救出作戦 最終撤退段階,,True
background,,,,,,bg_cher_3,1,1,1,coverall,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
stopmusic,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
name,可恶！,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,可恶！,くっ……！,ドーベル,True
name,明明已经在出口了！,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,明明已经在出口了！,もう出口まで来ているのに！,ドーベル,True
character,,,,,char_1504_cqbw#2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
name,这么轻松就想离开切尔诺伯格......,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,这么轻松就想离开切尔诺伯格......,こんなに簡単にチェルノボーグを出られると思ったの……？,？？？,True
name,你们的白日梦，总该有人来戳醒吧？,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,你们的白日梦，总该有人来戳醒吧？,あなたたちの白昼夢、誰かが目を覚まさせてあげなきゃね？,？？？,True
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
name,通讯设备已经恢复，我联系上了接应的行动预备组，他们正准备与我们汇合！,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,通讯设备已经恢复，我联系上了接应的行动预备组，他们正准备与我们汇合！,通信機器が回復したわ！支援の予備部隊と連絡が取れた、今こちらに合流する準備をしている！,ドーベル,True
name,可是，这个家伙......,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,可是，这个家伙......,でも、この人は……,ドーベル,True
character,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
name,小心她手中的爆破物！,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,小心她手中的爆破物！,彼女の手の爆弾に気をつけて！,ニアール,True
playmusic,,$calamity_loop,,,,,,,,,,$calamity_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,0,18,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
dialog,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,0,21,,,,False
blocker,,,,,,,,,0.1,,,,,,,1,100,100,100,true,,,,,,,,,,,,0,22,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,3,5,30,90,false,,,,,,0,23,,,,False
blocker,,,,,,,,,0.3,,,,,,,0,0,0,0,true,,,,,,,,,,,,0,24,,,,False
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,,,,False
name,但是，我还是联系不上侦查小组！,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,但是，我还是联系不上侦查小组！,でも、偵察班とはまだ連絡が取れない！,ドーベル,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
name,——你究竟是谁？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,——你究竟是谁？,──あなたはいったい誰なの？,アーミヤ,True
character,,,,,char_1504_cqbw,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,31,,,,False
name,你不认识我很正常——,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,你不认识我很正常——,私を知らなくて当然――,？？？,True
