command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,name,name2,focus,block,time,intro,volume,crossfade,delay,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,afrom,rfrom,gfrom,bfrom,screenadapt,index,text,jp_text,jp_name,text_match
header,第二十五关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
character,,,,,,,,1,char_012_misa_1,char_1500_skulsr,2,true,,,,,,,,,,,,,,,,,,,,,2,,,,False
name,你看。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,3,你看。,ほら。,スイグツ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,嗯......,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,,5,嗯......,うん……,ミーシャ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,,,6,,,,False
name,这个，是扳机。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,7,这个，是扳机。,これは、引き金だ。,スイグツ,True
name,只要这样装上弹药......,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,8,只要这样装上弹药......,こうやって弾薬を装填すれば……,スイグツ,True
name,瞄准敌人，按下扳机。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,9,瞄准敌人，按下扳机。,敵を狙って、引き金を引くんだ。,スイグツ,True
name,之后，弹药就会飞出去——,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,10,之后，弹药就会飞出去——,そうすると、弾が飛んでいく――,スイグツ,True
name,然后，握住把柄。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,11,然后，握住把柄。,それから、グリップを握るんだ。,スイグツ,True
name,聚精会神......施术。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,12,聚精会神......施术。,集中して……術を使う。,スイグツ,True
name,这样，就能引爆弹药。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,13,这样，就能引爆弹药。,こうすれば、弾薬を爆発させられる。,スイグツ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,,,14,,,,False
name,我不知道我能不能......,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,,15,我不知道我能不能......,私にできるか分からない……,ミーシャ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,,,16,,,,False
name,你一定可以的。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,17,你一定可以的。,君ならきっとできるさ。,スイグツ,True
name,我在你身上感到了和我相同的东西。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,18,我在你身上感到了和我相同的东西。,君には、俺と同じものを感じる。,スイグツ,True
name,想象一下......,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,19,想象一下......,想像してみて……,スイグツ,True
name,来，握住这颗源石。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,20,来，握住这颗源石。,さあ、この源石を握って。,スイグツ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,,,21,,,,False
name,唔......,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,,22,唔......,うっ……,ミーシャ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,,,23,,,,False
name,集中精神。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,24,集中精神。,集中するんだ。,スイグツ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,,,25,,,,False
name,——,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,,26,——,――,ミーシャ,True
name,掌心有些......热。,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,,27,掌心有些......热。,手のひらがちょっと……熱い。,ミーシャ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,,,28,,,,False
name,没错！,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,29,没错！,そうだ！,スイグツ,True
name,果然，果然......,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,30,果然，果然......,やっぱり、やっぱり……,スイグツ,True
name,米莎，你确实，确实......哈哈，哈哈......,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,31,米莎，你确实，确实......哈哈，哈哈......,ミーシャ、君は本当に、本当に……はは、はは……,スイグツ,True
name,你确实是我的......,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,32,你确实是我的......,君は確かに、俺の……,スイグツ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,33,,,,False
playmusic,,$loading_loop,,,,,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,34,,,,False
character,,,,,,,,,char_1002_nsabr_1,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
name,......走！碎骨，快撤！,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,36,......走！碎骨，快撤！,……行くぞ！スイグツ、早く撤退だ！,レユニオンのメンバー,True
name,这个矿场不能再呆下去了！,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,37,这个矿场不能再呆下去了！,この鉱山にはこれ以上いられない！,レユニオンのメンバー,True
character,,,,,,,,,char_1002_nsabr_1,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,,,38,,,,False
name,发生什么了？！,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,39,发生什么了？！,何が起きた？！,スイグツ,True
character,,,,,,,,,char_1002_nsabr_1,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,,,40,,,,False
name,是罗德岛的进攻！我们被袭击了！,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,41,是罗德岛的进攻！我们被袭击了！,ロドスの攻撃だ！襲撃された！,レユニオンのメンバー,True
character,,,,,,,,,char_1002_nsabr_1,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,,,42,,,,False
name,—————,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,43,—————,—————,スイグツ,True
name,这群混蛋————,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,44,这群混蛋————,この野郎どもめ———,スイグツ,True
name,不要慌张，组织大家进行反击！,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,45,不要慌张，组织大家进行反击！,慌てるな、皆で反撃だ！,スイグツ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,,,46,,,,False
name,碎骨......,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,,47,碎骨......,スイグツ……,ミーシャ,True
name,如果是罗德岛的话......我们......,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,,48,如果是罗德岛的话......我们......,ロドスなら……私たちは……,ミーシャ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,,,49,,,,False
name,——怎么？要我和罗德岛谈谈？,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,50,——怎么？要我和罗德岛谈谈？,――何だ？ロドスと話せっていうのか？,スイグツ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,,,51,,,,False
name,他们，他们一定会帮助感染者的。,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,,52,他们，他们一定会帮助感染者的。,彼ら、彼らはきっと感染者を助けてくれるはず。,ミーシャ,True
character,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
name,我那么多同胞都死在罗德岛手上——,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,54,我那么多同胞都死在罗德岛手上——,俺の仲間はあんなに多くロドスの手で死んだ――,スイグツ,True
name,你却让我，和他们谈谈？,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,55,你却让我，和他们谈谈？,それなのに、お前は俺に彼らと話せと言うのか？,スイグツ,True
name,我的同胞，他们都是感染者！,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,56,我的同胞，他们都是感染者！,俺の仲間たちは全員感染者だ！,スイグツ,True
name,声称自己会救助感染者的罗德岛，难道帮助过他们吗？,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,57,声称自己会救助感染者的罗德岛，难道帮助过他们吗？,感染者を救うと言ってるロドスが、彼らを助けたことがあるか？,スイグツ,True
camerashake,,,,,,,,,,,,false,,,,,,0.5,10,12,15,90,true,,,,,,,,,,58,,,,False
blocker,,,,,,,,0.1,,,,true,,,,,,,,,,,,0.3,1,1,1,0,0,0,0,,59,,,,False
blocker,,,,,,,,0.1,,,,true,,,,,,,,,,,,0,,,,,,,,,60,,,,False
name,究竟是什么东西蒙蔽了你的双眼？！,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,61,究竟是什么东西蒙蔽了你的双眼？！,一体何が君の目を曇らせているんだ？！,スイグツ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,,,62,,,,False
name,我，我不知道......,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,,63,我，我不知道......,わ、分からない……,ミーシャ,True
character,,,,,,,,,char_012_misa_1,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,,,64,,,,False
name,——对不起。,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,,65,——对不起。,――ごめん。,スイグツ,True
