command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,name2,focus,options,values,references,crossfade,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,0,4,,,,False
background,,,,,,,,,,,,bg_warehouse,coverall,,,,,,,,,,0,5,,,,False
blocker,,,,,,0,0,0,0,1,true,,,,,,,,,,,,0,6,,,,False
playmusic,,$dignified_loop,,,,,,,,,,,,$dignified_intro,0.4,,,,,,,,0,7,,,,False
character,,,,,,,,,,1,true,,,,,char_002_amiya_1#7,,,,,,,0,8,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,0,9,,,,False
name,这些萨卡兹居然不受仪式的影响......但我方的萨卡兹干员却不能免疫仪式，怎么回事？,,,,,,,,,,,,,,,阿米娅,,,,,,,0,10,这些萨卡兹居然不受仪式的影响......但我方的萨卡兹干员却不能免疫仪式，怎么回事？,これらのサルカズは儀式の影響を受けていません……でも、私たち側のサルカズオペレーターは儀式に免疫がないのです。どういうことなのでしょうか？,アーミヤ,True
name,但他们似乎也不属于游击队。奇怪......,,,,,,,,,,,,,,,阿米娅,,,,,,,0,11,但他们似乎也不属于游击队。奇怪......,でも彼らは遊撃隊にも属していないようです。不思議ですね……,アーミヤ,True
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,0,12,,,,False
name,迷迭香......,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,13,迷迭香......,ラベンダー……,ロドス近衛オペレーター？,True
name,感谢你。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,0,14,感谢你。,ありがとう。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,0,15,,,,False
name,我去巡逻。,,,,,,,,,,,,,,,迷迭香,,,,,,,0,16,我去巡逻。,パトロールに行く。,ラベンダー,True
name,不要谢，阿米娅喜欢说，不要因为别人职责里的事情谢别人。,,,,,,,,,,,,,,,迷迭香,,,,,,,0,17,不要谢，阿米娅喜欢说，不要因为别人职责里的事情谢别人。,礼はいらない。アーミヤはよく言う。他人の職務に関しては感謝しないでって。,ラベンダー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,0,21,,,,False
character,,,,,,,,,,,,,,,,avg_npc_057,,,,,,,0,22,,,,False
name,......,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,0,23,......,......,ウルサス感染者,True
character,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,0,24,,,,False
name,抑制药剂过一会儿才会起效。不过现在，矿石病带来的痛感应该会被减弱许多。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,25,抑制药剂过一会儿才会起效。不过现在，矿石病带来的痛感应该会被减弱许多。,抑制薬はもう少しすると効き始めます。でも今なら、鉱石病による痛みもずいぶん和らいでいるはずです。,アーミヤ,True
name,这些药物，之后你带回去给他们。存货不多，只能用一个疗程左右，但至少对急性重症有遏制作用。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,26,这些药物，之后你带回去给他们。存货不多，只能用一个疗程左右，但至少对急性重症有遏制作用。,これらの薬は、あとで彼らに持ち帰ってあげてください。在庫は多くありませんので、一回分の治療ぐらいしかありませんが、急性重症には抑制の効果があります。,アーミヤ,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#4,avg_npc_057,2,,,,,0,27,,,,False
name,你们真是来帮我们的？,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,0,28,你们真是来帮我们的？,本当に私たちを助けに来たのか？,ウルサス感染者,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#4,avg_npc_057,1,,,,,0,29,,,,False
name,遗憾的是，现在我们还帮不了你们多少。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,30,遗憾的是，现在我们还帮不了你们多少。,残念ですが、今の私たちにはあまりお力になれません。,アーミヤ,True
name,其他的行动，只有等到击溃整合运动的领袖之后才有机会采取。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,31,其他的行动，只有等到击溃整合运动的领袖之后才有机会采取。,他の行動は、整合運動のリーダーを撃破した後でないと取ることができません。,アーミヤ,True
name,而且......一旦整合运动再发生全面暴动，我想，我们也是没办法应付的。,,,,,,,,,,,,,,,阿米娅,,,,,,,0,32,而且......一旦整合运动再发生全面暴动，我想，我们也是没办法应付的。,さらに……もし整合運動が再び全面的な暴動を起こしたら、私たちも対応できないと思います。,アーミヤ,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#4,avg_npc_057,2,,,,,0,33,,,,False
name,刚才对你们说了那些。我......我以前不这样的。,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,0,34,刚才对你们说了那些。我......我以前不这样的。,さっきはあんなことを言ってしまった。……以前の私はそんな人間じゃなかったんだ。,ウルサス感染者,True
name,我以前很讨厌你们。但现在，我也是了。我和你们一样，被所有人恨着。,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,0,35,我以前很讨厌你们。但现在，我也是了。我和你们一样，被所有人恨着。,前はお前たちが大嫌いだった。でも今は違う。私も同じだ。お前たちと同じように、皆から憎まれている。,ウルサス感染者,True
