command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,intro,volume,crossfade,delay,time,name2,focus,options,values,references,block,option_number,index,text,jp_text,jp_name,text_match
header,第八关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,0,0,,,,False
name,时间未知 \ 天气未知 \ 能见度 低,,,,,,,,,,,,,,,,,,,,0,1,时间未知 \ 天气未知 \ 能见度 低,時間不明 \\ 天気不明 \\ 視界 低い,,True
name,切尔诺伯格 行动组E0所在地,,,,,,,,,,,,,,,,,,,,0,2,切尔诺伯格 行动组E0所在地,チェルノボーグ 作戦チームE0の所在場所,,True
name,博士营救行动 第三阶段,,,,,,,,,,,,,,,,,,,,0,3,博士营救行动 第三阶段,ドクター救出作戦 第三段階,,True
dialog,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
background,,,,,,bg_cher_1,1,1,1,,,,,,,,,,,,0,5,,,,False
playmusic,,$chernormal_loop,,,,,,,,$chernormal_intro,0.8,1,0.5,,,,,,,,0,6,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,0,7,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,8,,,,False
name,还剩不到一个小时，没时间从其他区域绕行了......,,,,杜宾,,,,,,,,,,,,,,,,0,9,还剩不到一个小时，没时间从其他区域绕行了......,残り一時間もありません。他のエリアを迂回する時間はありません……,ドーベルマン,True
name,我们浪费的时间越多，天灾在我们头顶发生的可能性就越大。,,,,杜宾,,,,,,,,,,,,,,,,0,10,我们浪费的时间越多，天灾在我们头顶发生的可能性就越大。,無駄にする時間が多いほど、天災が頭上で発生する可能性が高くなります。,ドーベルマン,True
name,必须直接穿过当前区域。,,,,杜宾,,,,,,,,,,,,,,,,0,11,必须直接穿过当前区域。,今のエリアを直接突破するしかありません。,ドーベルマン,True
name,以我们现在的规模，团队行动难免会被发觉。,,,,杜宾,,,,,,,,,,,,,,,,0,12,以我们现在的规模，团队行动难免会被发觉。,私たちの規模では、チームで動けば確実に気づかれてしまいます。,ドーベルマン,True
name,在狭窄的街巷中行动，很容易被埋伏包夹......,,,,杜宾,,,,,,,,,,,,,,,,0,13,在狭窄的街巷中行动，很容易被埋伏包夹......,狭い路地で行動すると、簡単に待ち伏せされて挟み撃ちにされます……,ドーベルマン,True
character,,,,,char_148_nearl_1,,,,,,,,,,char_130_doberm_ex,1,,,,,0,14,,,,False
