command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,name,options,values,references,time,name2,focus,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
background,,,,,,,,,,,bg_bridge,coverall,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
blocker,,,,,0,0,0,0,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
playmusic,,$batmeeting_loop,,,,,,,,,,,$batmeeting_intro,0.4,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
,罗德岛舰桥 6:00 a.m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
blocker,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
image,,,,,,,,,0,,avg_7_7,,,,0,0,1,1,,,,,,,,,,,,,,,,,,0,13,,,,False
imagetween,,,,,,,,,,false,,,,,,,,,1,1,0.87,0.87,60,,,,,,,,,,,,,0,14,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
name,各位优秀的干员们，现在开始，我会向罗德岛全舰通报一些重要的信息。这里是阿米娅。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,16,各位优秀的干员们，现在开始，我会向罗德岛全舰通报一些重要的信息。这里是阿米娅。,優秀なオペレーターの皆さん、これよりロドス全艦へ重要な情報を通達いたします。こちらはアーミヤです。,アーミヤ,True
name,罗德岛本舰已经在昨天晚上正式驶离了龙门。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,17,罗德岛本舰已经在昨天晚上正式驶离了龙门。,ロドス本艦は昨晩、正式に龍門を離れました。,アーミヤ,True
name,我们和龙门签订的长期贸易协定因为种种原因，已经失效。现在我们已经没理由继续在这座城市停留。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,18,我们和龙门签订的长期贸易协定因为种种原因，已经失效。现在我们已经没理由继续在这座城市停留。,私たちが龍門と結んでいた長期貿易協定は様々な理由で無効となりました。今はもうこの都市に留まる理由がありません。,アーミヤ,True
name,一方面，罗德岛在龙门购置了足够的资源，这应该能让我们多支撑一些时间。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,19,一方面，罗德岛在龙门购置了足够的资源，这应该能让我们多支撑一些时间。,一方で、ロドスは龍門で十分な資源を購入しましたので、これでしばらくは持ちこたえられるはずです。,アーミヤ,True
name,另一方面......我们中的一些干员，将会在不久后深入切尔诺伯格核心城。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,20,另一方面......我们中的一些干员，将会在不久后深入切尔诺伯格核心城。,また一方で……私たちの一部のオペレーターは、間もなくチェルノボーグのコアシティに突入することになります。,アーミヤ,True
name,一场更加艰巨的战斗正在那里等着我们。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,21,一场更加艰巨的战斗正在那里等着我们。,さらに過酷な戦いが、そこで私たちを待っています。,アーミヤ,True
name,......很多人可能会觉得，战争离我们很远。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,22,......很多人可能会觉得，战争离我们很远。,……多くの人は、戦争が自分たちから遠いものだと感じているかもしれません。,アーミヤ,True
name,战争，好像是种国家与国家之间的对抗，与一家制药企业没什么关系。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,23,战争，好像是种国家与国家之间的对抗，与一家制药企业没什么关系。,戦争というものは、国家同士の対立であり、製薬会社には関係ないように思えるでしょう。,アーミヤ,True
name,但战争......战争，我想战争从没离开过我们。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,24,但战争......战争，我想战争从没离开过我们。,ですが、戦争……戦争は、私たちから決して離れたことはないと思います。,アーミヤ,True
name,我们早就身在一场战争中了。那是一场对感染者极度不公，会让所有人都相互仇恨的漫长战争。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,25,我们早就身在一场战争中了。那是一场对感染者极度不公，会让所有人都相互仇恨的漫长战争。,私たちはすでに、とても長く、不公平な戦争の真っ只中にいます。その戦争は感染者にとって特に過酷で、人々の間に憎しみを生んでいます。,アーミヤ,True
name,为了让抗矿石病药物成功研发，让感染者有机会使用这种药物，医疗干员们在理论与实验中都投入了大量的精力。,,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,26,为了让抗矿石病药物成功研发，让感染者有机会使用这种药物，医疗干员们在理论与实验中都投入了大量的精力。,鉱石病治療薬の開発を成功させ、感染者にその薬を届けるため、医療オペレーターは理論や実験に多大な努力を注いできました。,アーミヤ,True
