command,text_orig,name,focus,image,name2,index,text,jp_text,jp_name,text_match
header,第四关（后）,,,,,0,第四关（后）,第四ステージ（後半）,第四ステージ（後半）,True
background,,,,bg_uptown_2,,1,,,,True
playmusic,,,,,,2,,,,True
delay,,,,,,3,,,,True
character,,char_136_hsguma,,,,4,,,char_136_hsguma,True
name,所有整合运动我都逮住了。根本没人知道具体的指令，刚他们说——,星熊,,,,5,所有整合运动我都逮住了。根本没人知道具体的指令，刚他们说——,統合運動の連中は全員捕まえたよ。具体的な指示を知ってる者は誰もいなかった。さっき彼らが言ったのは——,ホシグマ,True
name,......,星熊,,,,6,......,……,ホシグマ,True
name,老陈？看什么呢，这么入迷。,星熊,,,,7,老陈？看什么呢，这么入迷。,チェン、どうした？何をそんなに見入っているんだ。,ホシグマ,True
character,,char_136_hsguma,2,,char_010_chen_1#1,8,,,char_136_hsguma,True
name,这里以前是不是大学道？,陈,,,,9,这里以前是不是大学道？,ここは以前、「大学道」だったか？,チェン,True
character,,char_136_hsguma,1,,char_010_chen_1#1,10,,,char_136_hsguma,True
name,嗯？是啊。后来改了名字。,星熊,,,,11,嗯？是啊。后来改了名字。,ん？そうだよ。後で名前が変わった。,ホシグマ,True
character,,char_136_hsguma,2,,char_010_chen_1#1,12,,,char_136_hsguma,True
name,......这似乎是我家。,陈,,,,13,......这似乎是我家。,……ここはどうやら私の家のようだ。,チェン,True
dialog,,,,,,14,,,,True
character,,,,,,15,,,,True
blocker,,,,,,16,,,,True
image,,,,avg_5_4_door,,17,,,,True
blocker,,,,,,18,,,,True
imagetween,,,,,,19,,,,True
character,,char_136_hsguma,1,,char_010_chen_1#1,20,,,char_136_hsguma,True
name,你的公寓不是在太埔吗？,星熊,,,,21,你的公寓不是在太埔吗？,お前のアパートは太埔（タイプ）にあったんじゃないのか？,ホシグマ,True
character,,char_136_hsguma,2,,char_010_chen_1#1,22,,,char_136_hsguma,True
name,这是我生父一族的宅邸，好像重新装修过了。时间过去这么久，我甚至没能认出来。,陈,,,,23,这是我生父一族的宅邸，好像重新装修过了。时间过去这么久，我甚至没能认出来。,これは私の実父の一族の邸宅です。どうやら改装されたようですが、長い時間が経ちすぎて、私自身認識できませんでした。,チェン,True
character,,char_136_hsguma,1,,char_010_chen_1#1,24,,,char_136_hsguma,True
name,你去维多利亚读书之前住这？,星熊,,,,25,你去维多利亚读书之前住这？,お前、ヴィクトリアに留学に行く前はここに住んでたのか？,ホシグマ,True
name,虽然早前听过你和魏先生一样是炎国贵族出身，不过，这宅子可确实够大的。,星熊,,,,26,虽然早前听过你和魏先生一样是炎国贵族出身，不过，这宅子可确实够大的。,前に聞いたことあるけど、お前もウェイさんと同じく炎国（イェン）の貴族の出身だそうだな。しかし、この邸宅は本当に立派だな。,ホシグマ,True
character,,char_136_hsguma,2,,char_010_chen_1#1,27,,,char_136_hsguma,True
name,贵族？他们是，我不是。,陈,,,,28,贵族？他们是，我不是。,貴族？彼らはそうですが、私は違います。,チェン,True
character,,char_136_hsguma,1,,char_010_chen_1#1,29,,,char_136_hsguma,True
name,但你这屋邸摆在这......该怎么称呼？,星熊,,,,30,但你这屋邸摆在这......该怎么称呼？,でも、この屋敷を見れば……何て呼ぶべきなのか？,ホシグマ,True
character,,char_136_hsguma,2,,char_010_chen_1#1,31,,,char_136_hsguma,True
name,哼，陈府......,陈,,,,32,哼，陈府......,ふん、チェン邸か……,チェン,True
dialog,,,,,,33,,,,True
blocker,,,,,,34,,,,True
image,,,,,,35,,,,True
blocker,,,,,,36,,,,True
character,,char_136_hsguma,2,,char_010_chen_1#1,37,,,char_136_hsguma,True
name,进来吧。,陈,,,,38,进来吧。,入ってください。,チェン,True
character,,char_136_hsguma,,,,39,,,char_136_hsguma,True
name,啊？,星熊,,,,40,啊？,あ？,ホシグマ,True
dialog,,,,,,41,,,,True
character,,,,,,42,,,,True
character,,char_010_chen_1#1,,,,43,,,char_010_chen_1#1,True
blocker,,,,,,44,,,,True
playsound,,,,,,45,,,,True
blocker,,,,,,46,,,,True
camerashake,,,,,,47,,,,True
delay,,,,,,48,,,,True
