command,text_orig,key,is_skippable,fit_mode,time,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,name2,duration,xstrength,ystrength,vibrato,randomness,fadeout,focus,options,values,references,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,xFrom,xTo,yFrom,yTo,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
background,,,,,,,,,,,,bg_turf,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
blocker,,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
playmusic,,$frontline_loop,,,,,,,,,,,,$frontline_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
,龙门上城区 7:00 p.m. 天开始黑了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
character,,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
name,秘密逮捕令？陈sir？！,,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,0,11,秘密逮捕令？陈sir？！,秘密逮捕令？チェンさん？！,近衛局メンバー,True
name,搞错了吧？怎么可能......,,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,0,12,搞错了吧？怎么可能......,何かの間違いじゃないですか？そんなはずが......,近衛局メンバー,True
name,喂！回来！我问你是不是搞错了！！,,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,0,13,喂！回来！我问你是不是搞错了！！,おい！戻れ！間違いじゃないのかと聞いてるんだ！！,近衛局メンバー,True
name,可恶，陈sir，怎么会......究竟是谁在搞鬼！,,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,0,14,可恶，陈sir，怎么会......究竟是谁在搞鬼！,くそっ、チェンさん、どうして……一体誰がこんなことをしてるんだ！,近衛局メンバー,True
name,必须得找到陈sir，亲口问她才行！,,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,0,15,必须得找到陈sir，亲口问她才行！,チェンさんを見つけて、直接本人に聞かなきゃ！,近衛局メンバー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
blocker,,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
background,,,,,,,,,,,,bg_lungmen_d,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
blocker,,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
character,,,,,,,,,,1,true,,,,,avg_npc_034,,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,,,,False
name,......好。我晓得了。,,,,,,,,,,,,,,,鼠王,,,,,,,,,,,,,,,,,,,,,,,,0,23,......好。我晓得了。,……わかった。理解した。,ネズミ王,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
name,主人还有什么吩咐？,,,,,,,,,,,,,,,灰尾,,,,,,,,,,,,,,,,,,,,,,,,0,25,主人还有什么吩咐？,ご主人様、他にご命令は？,灰尾,True
character,,,,,,,,,,,,,,,,avg_npc_034,,,,,,,,,,,,,,,,,,,,,,,,0,26,,,,False
name,没有了。把之前我吩咐过的事情，都处理好。做完以后就赶紧去避避。,,,,,,,,,,,,,,,鼠王,,,,,,,,,,,,,,,,,,,,,,,,0,27,没有了。把之前我吩咐过的事情，都处理好。做完以后就赶紧去避避。,もうない。前に命じたことを全部片付けてくれ。終わったらすぐに身を隠せ。,ネズミ王,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
name,是。,,,,,,,,,,,,,,,灰尾,,,,,,,,,,,,,,,,,,,,,,,,0,29,是。,はい。,灰尾,True
character,,,,,,,,,,,,,,,,avg_npc_034,,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
name,去吧。快去。,,,,,,,,,,,,,,,鼠王,,,,,,,,,,,,,,,,,,,,,,,,0,31,去吧。快去。,行け。急げ。,ネズミ王,True
name,啊。,,,,,,,,,,,,,,,鼠王,,,,,,,,,,,,,,,,,,,,,,,,0,32,啊。,ああ。,ネズミ王,True
name,——唉。居然还有人能算倒魏彦吾。,,,,,,,,,,,,,,,鼠王,,,,,,,,,,,,,,,,,,,,,,,,0,33,——唉。居然还有人能算倒魏彦吾。,――はあ。まさか魏彦吾を出し抜く者がいるとは。,ネズミ王,True
name,塔露拉，塔露拉......难道说这真是命数？,,,,,,,,,,,,,,,鼠王,,,,,,,,,,,,,,,,,,,,,,,,0,34,塔露拉，塔露拉......难道说这真是命数？,タルラ、タルラ……これが運命というものなのか？,ネズミ王,True
