command,text,name,option_number,option_value,references,image,values,jp_text,jp_name
header,第三关（后）,,0,,,,,,
stopmusic,,,0,,,,,,
blocker,,,0,,,,,,
playsound,,,0,,,,,,
image,,,0,,,avg_6_9,,,
blocker,,,0,,,,,,
character,,,0,,,,,,
imagetween,,,0,,,,,,
delay,,,0,,,,,,
blocker,,,0,,,,,,
image,,,0,,,,,,
blocker,,,0,,,,,,
background,,,0,,,bg_undergroud_f,,,
delay,,,0,,,,,,
character,,char_1505_frstar_1,0,,,,,,
name,碎了......吗。,霜星,0,,,,,壊れて……しまったのか。,フロストノヴァ
name,老爷子从某个巫师那里求得这样东西......说是能维持住我的性命。,霜星,0,,,,,おじいさんがどこかの術師からこれを手に入れてくれて……私の命をつなぐものだと言っていました。,フロストノヴァ
name,连一场战斗都没撑过去，呵呵，终归，还是假货。,霜星,0,,,,,戦い一つも耐えられなかった、ふふ、やはり、偽物だったのか。,フロストノヴァ
name,也许就像我们父女一样......？和现在的，荒诞的整合运动......也一样。,霜星,0,,,,,私たち父娘のように……？そして、今の滑稽な統合運動とも同じなのかもな。,フロストノヴァ
character,,char_017_homura_3#5,0,,,,,,
name,唔！,煌,0,,,,,うっ！,スルト
name,呃......,煌,0,,,,,う……,スルト
character,,char_002_amiya_1#7,0,,,,,,
name,咳，咳......煌！,阿米娅,0,,,,,ゴホッ、ゴホッ……スルトさん！,アーミヤ
character,,char_017_homura_3#5,0,,,,,,
name,寒流已经......消散了。,煌,0,,,,,寒流はもう……消えた。,スルト
name,我没事！阿米娅，快，去看看那只白兔子！,煌,0,,,,,私は大丈夫！アーミヤ、早く、あの白いウサギを見て！,スルト
character,,char_1505_frstar_1,0,,,,,,
name,赢得漂亮，罗德岛。,霜星,0,,,,,見事な勝利だな、ロドス。,フロストノヴァ
name,我的兄弟姐妹们......我让他们白白死去了。,霜星,0,,,,,私の兄弟姉妹たち……私は彼らを無駄死にさせてしまったんだ。,フロストノヴァ
name,我们什么都没做到。,霜星,0,,,,,私たちは何もできなかった。,フロストノヴァ
name,我的生命......一点价值都没有。,霜星,0,,,,,私の命には……何の価値もない。,フロストノヴァ
decision,他们是因为你的理念而追随你的。,,1,1,,,1,彼らはあなたの理念に共感し、従ったのです。,
predicate,,,0,,1,,,,
