command,text,name,focus,image,name2,jp_text,jp_name
header,第三十二关（前）,,,,,,
background,,,,bg_lungmen_m,,,
playmusic,,,,,,,
delay,,,,,,,
character,,char_002_amiya_1,1,,char_010_chen_1,,
name,事已至此......我们已经没有别的选择。如果陈长官拒绝——,阿米娅,,,,ここまで来てしまった以上……もう他に選択肢はありません。もしチェン長官が拒否したら――,アーミヤ
name,那么罗德岛就会单方面出动。,阿米娅,,,,その場合、ロドスは単独で行動します。,アーミヤ
name,况且这一行为，并不破坏罗德岛与龙门之间的协约。,阿米娅,,,,しかも、この行動はロドスと龍門の間の協約を破るものではありません。,アーミヤ
character,,char_002_amiya_1,2,,char_010_chen_1,,
name,近卫局当然会去。,陈,,,,近衛局は当然行きます。,チェン
character,,char_002_amiya_1,1,,char_010_chen_1,,
name,......是，是吗......,阿米娅,,,,……そ、そうですか……,アーミヤ
name,......,阿米娅,,,,……,アーミヤ
name,那我代表罗德岛感谢陈长官——,阿米娅,,,,それでは、ロドスを代表してチェン長官に感謝します――,アーミヤ
name,我知道，感染者对于龙门而言......,阿米娅,,,,分かっています、感染者は龍門にとって……,アーミヤ
character,,char_002_amiya_1,2,,char_010_chen_1,,
name,这是小事。,陈,,,,これは些細なことです。,チェン
name,只不过，我对于近卫局各个小队是否能突入分城内部还有一定的疑虑。,陈,,,,ただし、近衛局の各部隊が分城に突入できるかについては、まだ少し疑問があります。,チェン
name,我们将见机行事。,陈,,,,臨機応変に行動します。,チェン
name,如果可能的话，我们一定会帮助你。,陈,,,,可能であれば、必ず君たちを助けます。,チェン
name,但近卫局依然会以处理整合运动这一任务为最优先。,陈,,,,しかし、近衛局は統合運動の対処を最優先します。,チェン
character,,char_002_amiya_1,1,,char_010_chen_1,,
name,这样......这样就够了。,阿米娅,,,,それで……それで十分です。,アーミヤ
name,......谢谢你，陈长官。,阿米娅,,,,……ありがとう、チェン長官。,アーミヤ
character,,char_002_amiya_1,2,,char_010_chen_1,,
name,抱歉，我有自己的使命。,陈,,,,すみません、私は自分の使命があります。,チェン
name,设备另一头的那个医生，听到了吗？,陈,,,,機器の向こうのドクター、聞こえていますか？,チェン
name,我会与罗德岛一起行动。,陈,,,,私はロドスと共に行動します。,チェン
character,,char_002_amiya_1,-1,,,,
name,阿米娅，小心点。,凯尔希,,,,アーミヤ、気を付けて。,ケルシー
name,事情并不单纯。,凯尔希,,,,事態は単純ではありません。,ケルシー
character,,char_002_amiya_1,,,,,
name,我会小心的。,阿米娅,,,,気を付けます。,アーミヤ
character,,char_002_amiya_1,-1,,,,
name,对了，我陆续建立了一些综合情报。,凯尔希,,,,そういえば、いくつか総合情報をまとめました。,ケルシー
name,罗德岛已经派出了救援小队，协助其他参与任务的侦察小队。,凯尔希,,,,ロドスはすでに救援部隊を派遣し、他の任務参加の偵察チームを支援しています。,ケルシー
name,只不过陨星他们所在的地方，我们无法深入，无能为力。,凯尔希,,,,ただし、エクシアたちのいる場所には私たちは深入りできず、力を及ぼせません。,ケルシー
name,这要靠你了。,凯尔希,,,,これはあなたに任せました。,ケルシー
character,,char_002_amiya_1,,,,,
name,只有陨星她们吗......,阿米娅,,,,エクシアたちだけですか……,アーミヤ
character,,char_002_amiya_1#7,,,,,
name,我明白了。我会去找她们的。,阿米娅,,,,分かりました。私が彼女たちを探しに行きます。,アーミヤ
character,,char_002_amiya_1,-1,,,,
name,我会将把坐标发送给你。,凯尔希,,,,座標を送ります。,ケルシー
name,记住，一切以安全为最优先。,凯尔希,,,,覚えておいて、何よりも安全を最優先に。,ケルシー
character,,char_002_amiya_1#7,,,,,
name,我明白。,阿米娅,,,,分かりました。,アーミヤ
dialog,,,,,,,
blocker,,,,,,,
character,,,,,,,
blocker,,,,,,,
character,,char_136_hsguma,1,,char_010_chen_1,,
name,所以，什么时候出发？,星熊,,,,それで、いつ出発する？,ホシグマ
character,,char_136_hsguma,2,,char_010_chen_1,,
name,现在。,陈,,,,今です。,チェン
character,,char_136_hsguma,1,,char_010_chen_1,,
name,我去整备。你通知一下近卫局的其他人。,星熊,,,,私は整備に行く。君は近衛局の他の者たちに連絡して。,ホシグマ
character,,char_136_hsguma,2,,char_010_chen_1,,
name,好。,陈,,,,分かりました。,チェン
character,,char_010_chen_1,,,,,
name,阿米娅，十分钟之后，我们一起出发。,陈,,,,アーミヤ、十分後に一緒に出発します。,チェン
character,,char_002_amiya_1,,,,,
name,好的。,阿米娅,,,,はい。,アーミヤ
background,,,,,,,
character,,char_002_amiya_1#4,,,,,
name,你们一定要平安无事......,阿米娅,,,,みなさん、どうかご無事で……,アーミヤ
delay,,,,,,,
dialog,,,,,,,
blocker,,,,,,,
image,,,,,,,
