command,text_orig,name,focus,image,name2,index,text,jp_text,jp_name,text_match
header,,,,,,0,,,,True
dialog,,,,,,1,,,,True
character,,,,,,2,,,,True
blocker,,,,,,3,,,,True
background,,,,bg_topout,,4,,,,True
blocker,,,,,,5,,,,True
playmusic,,,,,,6,,,,True
character,,,,,,7,,,,True
dialog,,,,,,8,,,,True
character,,avg_npc_058,,,,9,,,avg_npc_058,True
delay,,,,,,10,,,,True
name,哈，哈......,盾卫,,,,11,哈，哈......,はっ、はっ……,盾衛,True
name,罗德岛的医疗技术......是比我们的强......,盾卫,,,,12,罗德岛的医疗技术......是比我们的强......,ロドスの医療技術……我々よりも優れている……,盾衛,True
character,,char_002_amiya_1#4,1,,avg_npc_058,13,,,char_002_amiya_1#4,True
name,向各个感染者聚落派遣医护人员也在我们的计划之内，但是战乱地区的话，让普通医疗干员前去，太危险了。,阿米娅,,,,14,向各个感染者聚落派遣医护人员也在我们的计划之内，但是战乱地区的话，让普通医疗干员前去，太危险了。,各感染者集落へ医療スタッフを派遣することも私たちの計画の中にありますが、戦乱地域では、普通の医療オペレーターに行かせるのは非常に危険です。,アーミヤ,True
character,,char_002_amiya_1#4,2,,avg_npc_058,15,,,char_002_amiya_1#4,True
name,没事，已经......可以了。这样包扎就好了。,盾卫,,,,16,没事，已经......可以了。这样包扎就好了。,大丈夫だ、もう……いい。これで包帯は十分だ。,盾衛,True
character,,avg_npc_042,,,,17,,,avg_npc_042,True
name,敌人撤退了。战场变大了。我没法再用那个法术，找不到他们。,迷迭香,,,,18,敌人撤退了。战场变大了。我没法再用那个法术，找不到他们。,敵が撤退しました。戦場が広がりました。あの術はもう使えません、彼らを見つけられません。,ローズマリー,True
character,,avg_npc_058,,,,19,,,avg_npc_058,True
name,那就靠我们的魔族佬吧，他们也很擅长。,盾卫,,,,20,那就靠我们的魔族佬吧，他们也很擅长。,では我々の魔族たちに頼ろう。彼らも得意だからな。,盾衛,True
name,感谢你，罗德岛的战士。没有你的骁勇作战，我们的人员伤亡是不可避免的。,盾卫,,,,21,感谢你，罗德岛的战士。没有你的骁勇作战，我们的人员伤亡是不可避免的。,ありがとう、ロドスの戦士よ。お前の勇敢な戦いがなければ、我々の犠牲は避けられなかった。,盾衛,True
