command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,name,name2,focus,options,values,references,time,block,option_number,index,text,jp_text,jp_name,text_match
header,第四关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,coverall,bg_cher_5,1,1,1,,,,,,,,,,,,,0,1,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,0,2,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,0,3,,,,False
name,——天空越来越暗淡了。,,,,,,,,,,,,,阿米娅,,,,,,,,0,4,——天空越来越暗淡了。,——空がどんどん暗くなってきました。,アーミヤ,True
name,天际线仿佛被云层捏住了一样......,,,,,,,,,,,,,阿米娅,,,,,,,,0,5,天际线仿佛被云层捏住了一样......,地平線が雲に掴まれているみたいで……,アーミヤ,True
name,明明空气很通透，乌云却静止不动，好像在把各处的压抑感通通抽出，凝聚在一处。,,,,,,,,,,,,,阿米娅,,,,,,,,0,6,明明空气很通透，乌云却静止不动，好像在把各处的压抑感通通抽出，凝聚在一处。,空気は澄んでいるのに、黒雲が動かず、まるで各地の圧迫感を全て吸い取って、一カ所に集めているみたいです。,アーミヤ,True
name,连风都停下了......,,,,,,,,,,,,,阿米娅,,,,,,,,0,7,连风都停下了......,風さえも止まってしまいました……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_130_doberm_ex,2,,,,,,0,8,,,,False
name,天灾确实，即将降临在这座城市。,,,,,,,,,,,,,杜宾,,,,,,,,0,9,天灾确实，即将降临在这座城市。,天災は本当に、この都市にもうすぐ襲いかかるでしょう。,ドーベルマン,True
name,看来，切尔诺伯格已经被整合运动彻底瘫痪了。,,,,,,,,,,,,,杜宾,,,,,,,,0,10,看来，切尔诺伯格已经被整合运动彻底瘫痪了。,どうやら、チェルノボーグはすでに統合運動によって完全に麻痺していますね。,ドーベルマン,True
name,不过，哪怕是要拆分移动城市，也应该提前数周就完成准备工作。,,,,,,,,,,,,,杜宾,,,,,,,,0,11,不过，哪怕是要拆分移动城市，也应该提前数周就完成准备工作。,ですが、仮に移動都市を分離するにしても、数週間前から準備を終わらせているはずです。,ドーベルマン,True
name,难道在那时候，整合运动就......？,,,,,,,,,,,,,杜宾,,,,,,,,0,12,难道在那时候，整合运动就......？,まさかその時点で、統合運動がすでに……？,ドーベルマン,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,0,13,,,,False
name,不太现实。,,,,,,,,,,,,,Ace,,,,,,,,0,14,不太现实。,現実的ではありません。,エース,True
name,现在的整合运动，并没有体现出秘密接管所需要的精英部队素质。,,,,,,,,,,,,,Ace,,,,,,,,0,15,现在的整合运动，并没有体现出秘密接管所需要的精英部队素质。,今の統合運動には、秘密裏に掌握するためのエリート部隊の素質は見受けられません。,エース,True
character,,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,0,16,,,,False
name,整合运动的大多数成员......不过是在街头游荡，向切尔诺伯格人寻仇。,,,,,,,,,,,,,近卫干员,,,,,,,,0,17,整合运动的大多数成员......不过是在街头游荡，向切尔诺伯格人寻仇。,統合運動の大部分のメンバーは……ただ街中をさまよい、チェルノボーグの人々に仇を求めているだけです。,近衛オペレーター,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,0,18,,,,False
name,仅仅是在各处重复着杀戮和战斗，使整个城市陷入战火。,,,,,,,,,,,,,阿米娅,,,,,,,,0,19,仅仅是在各处重复着杀戮和战斗，使整个城市陷入战火。,各地で殺戮と戦闘を繰り返し、都市全体を戦火に陥れているだけです。,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,0,20,,,,False
name,天灾降临时，就连无比坚固的切尔诺伯格都会被撕得粉碎——,,,,,,,,,,,,,杜宾,,,,,,,,0,21,天灾降临时，就连无比坚固的切尔诺伯格都会被撕得粉碎——,天災が襲えば、どんなに堅固なチェルノボーグでも粉々に引き裂かれます——,ドーベルマン,True
name,变成布满源石的巨型废墟。,,,,,,,,,,,,,杜宾,,,,,,,,0,22,变成布满源石的巨型废墟。,源石だらけの巨大な瓦礫になってしまうのです。,ドーベルマン,True
name,无论整合运动想要的是资源还是名望，都只会一败涂地。,,,,,,,,,,,,,杜宾,,,,,,,,0,23,无论整合运动想要的是资源还是名望，都只会一败涂地。,統合運動が資源を求めても、名声を求めても、結果は敗北しかありません。,ドーベルマン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_130_doberm_ex,1,,,,,,0,24,,,,False
name,他们真能和乌萨斯军方正面对抗吗？即使乌萨斯的指挥系统陷入了混乱......,,,,,,,,,,,,,阿米娅,,,,,,,,0,25,他们真能和乌萨斯军方正面对抗吗？即使乌萨斯的指挥系统陷入了混乱......,彼らは本当にウルサス軍と正面から対決できるのでしょうか？たとえウルサスの指揮系統が混乱していても……,アーミヤ,True
