command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,a,r,g,b,image,screenadapt,intro,volume,name,name2,focus,effect,keep,amount,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
blocker,,,,,,1,true,,,,,,,,,,,,,,,,,,0,5,,,,False
,11:30 a.m.,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
blocker,,,,,,1,true,1,0,0,0,,,,,,,,,,,,,,0,9,,,,False
background,,,,,,,,,,,,bg_perimeter,coverall,,,,,,,,,,,,0,10,,,,False
blocker,,,,,,1,true,0,0,0,0,,,,,,,,,,,,,,0,11,,,,False
playmusic,,$darkness02_loop,,,,,,,,,,,,$darkness02_intro,0.4,,,,,,,,,,0,12,,,,False
character,,,,,,,,,,,,,,,,avg_npc_016,avg_npc_016,,,,,,,,0,13,,,,False
name,领袖。,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,0,14,领袖。,リーダー。,ファントムアーチャー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
character,,,,,,1,true,,,,,,,,,char_011_talula_1,,,,,,,,,0,18,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,0,19,,,,False
name,幻影弩手们。很高兴见到你们平安归来。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,20,幻影弩手们。很高兴见到你们平安归来。,ファントムアーチャーたち。無事に戻ってきてくれて嬉しいわ。,タルラ,True
name,你们的队伍很浩大。他们都是龙门的同胞？,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,21,你们的队伍很浩大。他们都是龙门的同胞？,あなたたちの隊伍はとても大きいわね。彼らもみんな龍門の同胞なの？,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_011_talula_1,1,,,,,,,0,22,,,,False
name,有许多感染者......和我们一起回来。,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,0,23,有许多感染者......和我们一起回来。,多くの感染者が……私たちと一緒に戻ってきました。,ファントムアーチャー,True
name,没想到会在这里遇到你们。,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,0,24,没想到会在这里遇到你们。,まさかここであなたたちと会うとは思いませんでした。,ファントムアーチャー,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_011_talula_1,2,,,,,,,0,25,,,,False
name,充分利用切尔诺伯格的资源，能拯救许多人。这座核心城将是我们攻破龙门的利器。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,26,充分利用切尔诺伯格的资源，能拯救许多人。这座核心城将是我们攻破龙门的利器。,チェルノボーグの資源を十分に活用することで、多くの人々を救うことができる。このコアシティは、私たちが龍門を突破するための切り札だわ。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_011_talula_1,1,,,,,,,0,27,,,,False
name,什么？不，不对，领袖......,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,0,28,什么？不，不对，领袖......,何ですって？いや、違います、リーダー……,ファントムアーチャー,True
name,为什么龙门的情况和计划里说的完全不一样？我们多少战友平白无故地在那里送了命！,,,,,,,,,,,,,,,幻影弩手,,,,,,,,,0,29,为什么龙门的情况和计划里说的完全不一样？我们多少战友平白无故地在那里送了命！,なぜ龍門の状況は計画と全く違うのですか？多くの仲間たちがあそこで無駄に命を落としました！,ファントムアーチャー,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_1002_nsabr_1,2,,,,,,,0,30,,,,False
name,你怎么敢这样对领袖......,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,0,31,你怎么敢这样对领袖......,どうしてリーダーにそんなことを……,インテグレーションムーブメントメンバー,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_011_talula_1,2,,,,,,,0,32,,,,False
name,不。他说得对。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,33,不。他说得对。,違うわ。彼の言う通りよ。,タルラ,True
name,我们可敬的同胞们已经受了太多的苦。我们的作战计划也因为敌人奸诈的圈套，受到了很大的挫折。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,34,我们可敬的同胞们已经受了太多的苦。我们的作战计划也因为敌人奸诈的圈套，受到了很大的挫折。,私たちの敬愛する仲間たちは、すでに多くの痛みを受けている。私たちの作戦計画も、敵の奸智な罠のせいで大きな挫折を被ったわ。,タルラ,True
name,不过，即使我们的先锋遭遇了一时的阻碍，整合运动却还依然有为你们报仇的决心。你们的创伤，你们的牺牲，我会为你们讨回。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,35,不过，即使我们的先锋遭遇了一时的阻碍，整合运动却还依然有为你们报仇的决心。你们的创伤，你们的牺牲，我会为你们讨回。,でも、たとえ私たちの先鋒が一時的な妨げに遭ったとしても、インテグレーションムーブメントにはあなたたちのために復讐する決意が残っているのよ。あなたたちの傷も、あなたたちの犠牲も、私が必ず償わせるわ。,タルラ,True
name,请放心，我一直与你们在一起。,,,,,,,,,,,,,,,塔露拉,,,,,,,,,0,36,请放心，我一直与你们在一起。,安心していいわ。私はいつもあなたたちと共にいるから。,タルラ,True
character,,,,,,,,,,,,,,,,avg_npc_016,char_011_talula_1,1,,,,,,,0,37,,,,False
