command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,intro,volume,crossfade,delay,time,name,image,screenadapt,width,height,name2,focus,ease,x,y,xScale,yScale,index,text,jp_text,jp_name,text_match
header,第三十关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
blocker,,,,,0,0,0,0,0,true,,,,,,,,,,,,,,,,,,1,,,,False
blocker,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,2,,,,False
playmusic,,$darkness01_loop,,,,,,,,,$darkness01_intro,0.8,1.5,0.5,,,,,,,,,,,,,,3,,,,False
blocker,,,,,0,0,0,0,2,true,,,,,,,,,,,,,,,,,,4,,,,False
delay,,,,,,,,,,,,,,,1,,,,,,,,,,,,,5,,,,False
name,阿米娅。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,6,阿米娅。,アーミヤ。,チェン,True
name,——,,,,,,,,,,,,,,,陈,,,,,,,,,,,,7,——,——,チェン,True
name,已经结束了。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,8,已经结束了。,もう終わった。,チェン,True
name,......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,9,......,......,アーミヤ,True
image,,,,,,,,,1,,,,,,,,bg_0_coma,coverall,,,,,,,,,,10,,,,False
delay,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,11,,,,False
name,人总是会超出预期。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,12,人总是会超出预期。,人はいつも予想を超えるものだ。,チェン,True
name,感染者更会如此。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,13,感染者更会如此。,感染者はさらにそうだ。,チェン,True
name,力量使人疯狂，欲望使人堕落。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,14,力量使人疯狂，欲望使人堕落。,力は人を狂わせ、欲望は人を堕落させる。,チェン,True
name,像癌症一样，一点点侵蚀着所有美好的事物。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,15,像癌症一样，一点点侵蚀着所有美好的事物。,まるで癌のように、少しずつ全ての美しいものを蝕んでいく。,チェン,True
name,......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,16,......,......,アーミヤ,True
delay,,,,,,,,,,,,,,,1,,,,,,,,,,,,,17,,,,False
name,对你来说，这面具什么意义都没有。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,18,对你来说，这面具什么意义都没有。,君にとって、この仮面は何の意味もない。,チェン,True
name,我想......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,19,我想......,私……,アーミヤ,True
background,,,,,,,,,2,false,,,,,,,bg_wild_a,coverall,1,1,,,,,,,,20,,,,False
name,如果你想留着，就留着吧。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,21,如果你想留着，就留着吧。,もし手元に残したいなら、残しておけばいい。,チェン,True
name,总有一天，这种面具会堆满你的房间。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,22,总有一天，这种面具会堆满你的房间。,いつか、こういう仮面が君の部屋を埋め尽くすだろう。,チェン,True
name,所有人都要为他们的选择承担后果。感染者与否，都没有区别。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,23,所有人都要为他们的选择承担后果。感染者与否，都没有区别。,誰もが自分の選択の結果を背負うことになる。感染者であろうと関係ない。,チェン,True
blocker,,,,,1,0,0,0,1.6,true,,,,,,,,,,,,,,,,,,24,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,25,,,,False
blocker,,,,,0,,,,1.6,true,,,,,,,,,,,,,,,,,,26,,,,False
delay,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,27,,,,False
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,2,,,,,,28,,,,False
name,——————,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,29,——————,——————,アーミヤ,True
name,——抱歉......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,30,——抱歉......,——ごめんなさい……,アーミヤ,True
name,陈警官......我......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,31,陈警官......我......,チェン警官……私は……,アーミヤ,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,1,,,,,,32,,,,False
name,听着，阿米娅。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,33,听着，阿米娅。,聞け、アーミヤ。,チェン,True
name,整合运动，这些人，如果他们愿意倾听你的话语，你可以尽你所能帮助他们。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,34,整合运动，这些人，如果他们愿意倾听你的话语，你可以尽你所能帮助他们。,レユニオン――彼らが君の言葉に耳を傾けるなら、君の手でできる限り助けてやれ。,チェン,True
name,但如果他们拒绝听取任何声音，只想把余下的所有生命献给疯狂......不要再犹豫了。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,35,但如果他们拒绝听取任何声音，只想把余下的所有生命献给疯狂......不要再犹豫了。,だが、彼らが一切聞く耳を持たず、残る命を狂気に捧げるつもりなら――もう、ためらうな。,チェン,True
delay,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,36,,,,False
name,——,,,,,,,,,,,,,,,陈,,,,,,,,,,,,37,——,——,チェン,True
name,她也并没有作恶。并且，这也不是什么罪恶的下场。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,38,她也并没有作恶。并且，这也不是什么罪恶的下场。,彼女も悪事を働いたわけじゃないし、これは罪の報いでもない。,チェン,True
name,仅仅是因为她选择了这个结果而已。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,39,仅仅是因为她选择了这个结果而已。,ただ、彼女がこの結果を選んだだけだ。,チェン,True
name,没人有资格去阻止她，没有人有资格去责怪她。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,40,没人有资格去阻止她，没有人有资格去责怪她。,誰にも彼女を止める資格はないし、誰にも咎める資格はない。,チェン,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,2,,,,,,41,,,,False
name,但是，我.......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,42,但是，我.......,でも、私は……,アーミヤ,True
name,我不知道......一直以来，我都觉得我们有一种责任，去帮助应该帮助的人。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,43,我不知道......一直以来，我都觉得我们有一种责任，去帮助应该帮助的人。,分からない……ずっと、私たちには助けるべき人を助ける責任があると思ってた。,アーミヤ,True
name,但是，为什么......最后会变成这样。为什么她需要去一个人承担这样的后果......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,44,但是，为什么......最后会变成这样。为什么她需要去一个人承担这样的后果......,でも、どうして……最後はこうなってしまうの？どうして彼女が一人でそんな結果を背負わなきゃいけないの……,アーミヤ,True
name,罗德岛所做的事情，真的是正确的吗？,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,45,罗德岛所做的事情，真的是正确的吗？,ロドスのしていることは、本当に正しいの？,アーミヤ,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,1,,,,,,46,,,,False
name,——,,,,,,,,,,,,,,,陈,,,,,,,,,,,,47,——,——,チェン,True
name,从感染了矿石病开始，人的命运就不再是由他一个人掌握的了。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,48,从感染了矿石病开始，人的命运就不再是由他一个人掌握的了。,鉱石病に感染した時から、運命はもう自分一人のものじゃなくなる。,チェン,True
name,也许在罗德岛看来，误入歧途还是可以被拯救的——,,,,,,,,,,,,,,,陈,,,,,,,,,,,,49,也许在罗德岛看来，误入歧途还是可以被拯救的——,ロドスから見れば、道を踏み外した者でも救えるかもしれない――,チェン,True
name,但是对我而言，对近卫局而言，却并非如此。可能，在必要的时候，必须......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,50,但是对我而言，对近卫局而言，却并非如此。可能，在必要的时候，必须......,だが、私や近衛局にとっては違う。必要ならば、きっと……,チェン,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,2,,,,,,51,,,,False
name,......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,52,......,......,アーミヤ,True
name,我只是想去改变那种永无止境的状况......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,53,我只是想去改变那种永无止境的状况......,私はただ、あの終わりなき状況を変えたかっただけ……,アーミヤ,True
name,哪怕是一点点，一点点——,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,54,哪怕是一点点，一点点——,ほんの少しでも、少しずつでも――,アーミヤ,True
name,可是......这一切如果最后只能变成这样的结局，那我只能......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,55,可是......这一切如果最后只能变成这样的结局，那我只能......,でも……もし全てが結局こんな結末にしかならないのなら、私には……,アーミヤ,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,1,,,,,,56,,,,False
name,阿米娅。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,57,阿米娅。,アーミヤ。,チェン,True
name,......,,,,,,,,,,,,,,,陈,,,,,,,,,,,,58,......,......,チェン,True
name,你动摇了？,,,,,,,,,,,,,,,陈,,,,,,,,,,,,59,你动摇了？,迷いが生まれたのか？,チェン,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,2,,,,,,60,,,,False
name,我......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,61,我......,私は……,アーミヤ,True
name,我不知道......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,62,我不知道......,分からない……,アーミヤ,True
name,感染者不是被敌意溺死，就是自己走向毁灭。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,63,感染者不是被敌意溺死，就是自己走向毁灭。,感染者は敵意に飲み込まれるか、自ら破滅に向かうしかない。,アーミヤ,True
name,悲剧只会一次接一次的重演。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,64,悲剧只会一次接一次的重演。,悲劇は何度も繰り返されるだけ。,アーミヤ,True
name,在这苦恨的循环里，除了消灭矿石病之外，还有一种方法可以让感染者重拾希望。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,65,在这苦恨的循环里，除了消灭矿石病之外，还有一种方法可以让感染者重拾希望。,この苦しみと憎しみの連鎖の中で、鉱石病をなくす以外にも希望を取り戻せる方法がある。,アーミヤ,True
name,......那就是，熄灭这根荆棘锁链上的仇恨。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,66,......那就是，熄灭这根荆棘锁链上的仇恨。,……それは、この茨の鎖にある憎しみを断ち切ること。,アーミヤ,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,1,,,,,,67,,,,False
name,......阿米娅。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,68,......阿米娅。,……アーミヤ。,チェン,True
name,给予仁慈是需要付出足够的代价的。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,69,给予仁慈是需要付出足够的代价的。,慈悲を与えるには、それ相応の代価が要る。,チェン,True
name,罗德岛永远也不会变成近卫局这样，也做不到近卫局那样。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,70,罗德岛永远也不会变成近卫局这样，也做不到近卫局那样。,ロドスは決して近衛局のようにならないし、近衛局のようなことはできない。,チェン,True
name,你们罗德岛愿意接纳多少感染者，妄想通过柔软的手法拯救多少人————那都是罗德岛才能做，或者说————,,,,,,,,,,,,,,,陈,,,,,,,,,,,,71,你们罗德岛愿意接纳多少感染者，妄想通过柔软的手法拯救多少人————那都是罗德岛才能做，或者说————,ロドスがどれほど多くの感染者を受け入れ、優しいやり方で救おうとしても――それはロドスだからこそできる、いや、,チェン,True
name,罗德岛才会做的事。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,72,罗德岛才会做的事。,ロドスしかやらないことだ。,チェン,True
delay,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,73,,,,False
name,但是，这样的事情，我不能做。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,74,但是，这样的事情，我不能做。,でも、私はそんなことはできない。,チェン,True
name,近卫局————更加不能。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,75,近卫局————更加不能。,近衛局には――なおさらできない。,チェン,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,2,,,,,,76,,,,False
name,......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,77,......,......,アーミヤ,True
character,,,,,,,,,,,,,,,,char_010_chen_1,,,,,char_002_amiya_1#4,1,,,,,,78,,,,False
name,......至少，除了他的同胞以外，还有你会去留下他的面具。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,79,......至少，除了他的同胞以外，还有你会去留下他的面具。,……少なくとも、彼の同胞以外に君は仮面を残してやるんだな。,チェン,True
name,......如果这样的面具，注定会堆满你的房间，那就让他堆吧。,,,,,,,,,,,,,,,陈,,,,,,,,,,,,80,......如果这样的面具，注定会堆满你的房间，那就让他堆吧。,……こういう仮面が部屋を埋め尽くす運命なら、好きにさせればいい。,チェン,True
