command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,options,values,references,a,initr,r,g,b,block,option_number,index,text,jp_text,jp_name,text_match
header,第十四关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_lungmen_o,1,1,1,coverall,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,0,4,,,,False
name,——以上就是此次战斗的全过程。,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,5,——以上就是此次战斗的全过程。,——これが今回の戦闘の全過程です。,チェン,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1,1,,,,,,,,,,0,6,,,,False
name,你的评价？,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,7,你的评价？,君の評価は？,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1,2,,,,,,,,,,0,8,,,,False
name,他们的实力确实合格了。,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,9,他们的实力确实合格了。,彼らの実力は確かに合格しています。,チェン,True
name,但魏长官，无论是在战略层面，还是关于他们的身份，我都认为......,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,10,但魏长官，无论是在战略层面，还是关于他们的身份，我都认为......,しかし、ウェイ長官、戦略面でも、彼らの身分についても、私は……,チェン,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1,2,,,,,,,,,,0,11,,,,False
name,......龙门近卫局完全可以胜任接下来的任务。,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,12,......龙门近卫局完全可以胜任接下来的任务。,……龍門近衛局なら今後の任務を十分にこなせます。,チェン,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1,1,,,,,,,,,,0,13,,,,False
name,对抗犯罪与侵略，近卫局绰绰有余。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,14,对抗犯罪与侵略，近卫局绰绰有余。,犯罪や侵略に対抗するには、近衛局で十分だ。,ウェイ・イエンウ,True
name,虽然罗德岛也能提供更多的可能性。但是......,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,15,虽然罗德岛也能提供更多的可能性。但是......,ロドスもさらなる可能性を提供できるが……,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_2005_weiyw_1,char_010_chen_1,1,,,,,,,,,,0,16,,,,False
name,罗德岛所要求的“东西”里有一样，可不是目前罗德岛给出的条件可以交换的。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,17,罗德岛所要求的“东西”里有一样，可不是目前罗德岛给出的条件可以交换的。,ロドスが要求する『もの』の中には、今の条件では交換できないものがあるのだ。,ウェイ・イエンウ,True
name,哪怕是仅仅在临时防卫上的合作，也完全无法与之等价。相比之下，罗德岛的“要价”有点太高了。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,18,哪怕是仅仅在临时防卫上的合作，也完全无法与之等价。相比之下，罗德岛的“要价”有点太高了。,仮に一時的な防衛協力であっても全く釣り合わない。それに比べて、ロドスの「要求」は少し高すぎるな。,ウェイ・イエンウ,True
name,我想凯尔希小姐和阿米娅小姐很清楚吧。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,0,19,我想凯尔希小姐和阿米娅小姐很清楚吧。,ケルシーさんもアーミヤさんも、その点はよく分かっているはずだ。,ウェイ・イエンウ,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_2005_weiyw_1,1,,,,,,,,,,0,20,,,,False
name,魏先生，仅仅防卫是不够的。整合运动还有很多你不知道的信息。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,21,魏先生，仅仅防卫是不够的。整合运动还有很多你不知道的信息。,ウェイさん、防衛だけでは足りません。統合運動には、まだあなたの知らない情報が多くあります。,ケルシー,True
name,根据我们交战的情况推测，若不采取主动措施，整合运动将在未来数周内攻陷龙门。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,22,根据我们交战的情况推测，若不采取主动措施，整合运动将在未来数周内攻陷龙门。,私たちの戦闘状況から推測すると、積極的な対策をとらない限り、統合運動は数週間以内に龍門を攻略するでしょう。,ケルシー,True
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,0,23,,,,False
name,......危言耸听。没有任何证据可以表明——,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,24,......危言耸听。没有任何证据可以表明——,……大げさです。その証拠はどこにもありません——,チェン,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_010_chen_1#4,1,,,,,,,,,,0,25,,,,False
name,陈警官，想知道切尔诺伯格一夜失陷的真正原因吗？,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,26,陈警官，想知道切尔诺伯格一夜失陷的真正原因吗？,チェン警官、チェルノボーグが一夜で陥落した本当の理由、知りたいですか？,ケルシー,True
character,,,,,,,,,,,,,,,char_003_kalts_1,char_010_chen_1#4,2,,,,,,,,,,0,27,,,,False
name,......,,,,,,,,,,,,,,陈,,,,,,,,,,,,0,28,......,……,チェン,True
