command,text,name,focus,image,name2,jp_text,jp_name
header,,,,,,,
stopmusic,,,,,,,
delay,,,,,,,
dialog,,,,,,,
character,,,,,,,
blocker,,,,,,,
background,,,,bg_snowconutry_4,,,
blocker,,,,,,,
playmusic,,,,,,,
dialog,,,,,,,
character,,,,,,,
camerashake,,,,,,,
name,呃呃呃呃呃呃！！,感染者纠察队,,,,うぅうぅうぅうぅ！！,感染者パトロール隊
camerashake,,,,,,,
name,啊啊......啊啊啊啊！！,感染者纠察队,,,,ああ……ああああ！！,感染者パトロール隊
character,,avg_npc_078#4,,,,,
name,......,塔露拉,,,,......,タルラ
character,,avg_npc_079#4,,,,,
name,塔露拉......！你......唔......！,阿丽娜,,,,タルラ……！あなた……うっ……！,アリーナ
name,这把火是你放的吗！他们是你烧......呃！,阿丽娜,,,,この火はあなたがつけたの！？彼らはあなたが……うっ！,アリーナ
character,,avg_npc_078#4,,,,,
name,阿丽娜，抱歉。这一定会给村子带来很大的灾难。但是我无法忍受。,塔露拉,,,,アリーナ、ごめん。これは村に大きな災いをもたらすでしょう。でも、私は我慢できなかったのです。,タルラ
name,我无法忍受这种事......,塔露拉,,,,私はこんなこと、我慢できません……,タルラ
name,......阿丽娜？,塔露拉,,,,……アリーナ？,タルラ
character,,,,,,,
dialog,,,,,,,
,塔露拉惊讶地看着阿丽娜。阿丽娜用塔露拉从没见过的眼神望着她。,,,,,タルラは驚いてアリーナを見つめた。アリーナはタルラが今まで見たことのない眼差しで彼女を見つめていた。,
character,,avg_npc_079#4,,,,,
name,你眼里有一团火。,阿丽娜,,,,あなたの目には炎がある。,アリーナ
name,从你来这个村子的时候我就知道，你不会甘心在这个村子里呆下去的。,阿丽娜,,,,あなたがこの村に来た時から、あなたはこの村にじっとしていないとわかっていました。,アリーナ
name,你有你的来处，你从哪里来就要回到哪里去，这个村子容不下你。,阿丽娜,,,,あなたには帰るべき場所がある。ここにはあなたの居場所はないのです。,アリーナ
character,,avg_npc_078#4,,,,,
name,我不会回去。别这么看着我......,塔露拉,,,,私は戻りません。そんな目で見ないでください……,タルラ
character,,avg_npc_079#4,,,,,
name,但你眼里确实有那一团火。,阿丽娜,,,,でもあなたの目には、確かにその炎があります。,アリーナ
name,你想要点燃什么，你想烧掉什么，你觉得这一切都不对，你在忍受，你忍到了极限......,阿丽娜,,,,あなたは何かを燃やしたい、何かを焼き尽くしたい、全てが間違っていると感じている。我慢して、限界まで我慢したのです……,アリーナ
name,不该是现在，塔露拉。不该是现在。,阿丽娜,,,,今じゃない、タルラ。今すべきではないのです。,アリーナ
name,村民是无辜的。你一时的怒火只会害了他们。,阿丽娜,,,,村人たちは無実です。あなたの一時の怒りは彼らを傷つけるだけです。,アリーナ
character,,avg_npc_082,,,,,
camerashake,,,,,,,
name,发生什么事——天哪！发生什么了！谁！是谁干的！,感染者纠察队,,,,何が起きている——なんだこれは！何があったんだ！誰だ！誰がやったんだ！,感染者パトロール隊
dialog,,,,,,,
character,,,,,,,
name,塔露拉！塔露拉！！走啊，走！！别回来了！！别回来！！,老妇,,,,タルラ！タルラ！！逃げて、行きなさい！！もう帰ってこないで！！戻ってこないで！！,おばあさん
name,陛下保佑，保佑我这个女儿一样的女儿吧，保佑她活下去，保佑她好好活下去啊！！,老妇,,,,陛下よ、娘のようなこの娘をお守りください。どうか生き延びさせて、幸せに生きていけますように！！,おばあさん
character,,avg_npc_079#4,,,,,
name,塔露拉，我们快走！,阿丽娜,,,,タルラ、早く行きましょう！,アリーナ
character,,avg_npc_078#5,,,,,
name,不行......那些可恨的纠察队！,塔露拉,,,,だめです……あの憎いパトロール隊！,タルラ
character,,avg_npc_079#4,,,,,
name,我们是感染者，村子里的人可不是！,阿丽娜,,,,私たちは感染者だけど、村の人たちは違うの！,アリーナ
character,,avg_npc_078#4,,,,,
name,......你说什么？,塔露拉,,,,……何を言っているのですか？,タルラ
character,,avg_npc_079#4,,,,,
name,我也是感染者，塔露拉。我也是。,阿丽娜,,,,私も感染者なの、タルラ。私もです。,アリーナ
dialog,,,,,,,
blocker,,,,,,,
character,,,,,,,
background,,,,bg_snow_2,,,
playsound,,,,,,,
blocker,,,,,,,
character,,avg_npc_079#4,,,,,
