command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,a,r,g,b,image,screenadapt,intro,volume,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
blocker,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
dialog,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,,1,true,1,0,0,0,,,,,,,,,,,,,,,,,0,4,,,,False
background,,,,,,,,,,,,bg_warehouse,coverall,,,,,,,,,,,,,,,0,5,,,,False
blocker,,,,,,2,true,0,0,0,0,,,,,,,,,,,,,,,,,0,6,,,,False
playmusic,,$plot_loop,,,,,,,,,,,,$plot_intro,0.4,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,8,,,,False
name,Guard，解释你的作为。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,9,Guard，解释你的作为。,ガード、あなたの行動を説明しなさい。,ケルシー,True
character,,,,,,,,,,,,,,,,avg_npc_059,,,,,,,,,,,,0,10,,,,False
name,我看上去完全是个整合运动了......是吗。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,11,我看上去完全是个整合运动了......是吗。,私はもう完全にレユニオン（整合運動）に見えるんだな……そうだろう。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_057,,,,,,,,,,,,0,12,,,,False
name,所以你们认识。,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,13,所以你们认识。,つまり、あなたたちは知り合いなのか。,ウルサスの感染者,True
name,好，那这个卡特斯感染者说的一切都是谎话。,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,14,好，那这个卡特斯感染者说的一切都是谎话。,よし、じゃあこのカータスの感染者が言っていることは全部嘘だ。,ウルサスの感染者,True
name,你和整合运动原本就是一边的！对不对！,,,,,,,,,,,,,,,乌萨斯感染者,,,,,,,,,,,,0,15,你和整合运动原本就是一边的！对不对！,お前は元々レユニオンの味方だったんだろう！そうだろう！,ウルサスの感染者,True
character,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,0,16,,,,False
name,......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,17,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,1,,,,,,,,,,0,18,,,,False
name,......塔季......你找到食物了吗？避难处的大家也撑不了太长时间了。,,,,,,,,,,,,,,,罗德岛近卫干员？,,,,,,,,,,,,0,19,......塔季......你找到食物了吗？避难处的大家也撑不了太长时间了。,……タチ……食べ物は見つかったか？避難所のみんなも、もう長くはもたない。,ロドス近衛オペレーター？,True
character,,,,,,,,,,,,,,,,avg_npc_059,avg_npc_057,2,,,,,,,,,,0,20,,,,False
