command,text,name,image,jp_text,jp_name
header,第三十二关（前）,,,,
background,,,bg_lungmen_r,,
playmusic,,,,,
delay,,,,,
character,,char_002_amiya_1,,,
name,......,阿米娅,,......,アーミヤ
character,,,,,
name,啊......！小心！,孩童,,あっ……！気をつけて！,子供
camerashake,,,,,
character,,char_002_amiya_1#6,,,
name,唔！,阿米娅,,うっ！,アーミヤ
character,,,,,
name,抱，抱歉，我不是有意撞过来......,孩童,,ご、ごめんなさい。わざとぶつかったんじゃないんだ……,子供
character,,char_002_amiya_1#2,,,
name,我没事的。你很有礼貌呢。,阿米娅,,大丈夫です。あなたはとても礼儀正しいですね。,アーミヤ
character,,,,,
name,嘿嘿......,孩童,,えへへ……,子供
name,咦，姐姐你在这里做什么？,孩童,,あれ、お姉さん、ここで何してるの？,子供
name,这里可还在下雨呢，为什么不躲一躲？,孩童,,まだ雨が降ってるのに、どうして避難しないの？,子供
character,,char_002_amiya_1,,,
name,啊......嗯......我只是......出来走走。,阿米娅,,あっ……ええ……私はただ……散歩に出てきただけです。,アーミヤ
name,你是在找人帮忙吗？,阿米娅,,誰かに手伝ってもらいたいんですか？,アーミヤ
character,,,,,
name,啊！姐姐是怎么知道的！,孩童,,えっ！どうしてお姉さんに分かったの！,子供
character,,char_002_amiya_1#2,,,
name,不能告诉你！这可是姐姐的秘密。,阿米娅,,それは教えられません！お姉さんの秘密ですから。,アーミヤ
character,,,,,
name,唔唔......不管了！,孩童,,うう……もういいや！,子供
name,姐姐，能不能请你——,孩童,,お姉さん、お願いが——,子供
name,好像......不太行。姐姐，你的个子，太小了......,孩童,,やっぱり……無理かな。お姉さん、背が小さいから……,子供
character,,char_002_amiya_1#7,,,
name,可不能这么说别人！你明明比我矮！,阿米娅,,そんなこと言ったらだめですよ！あなたのほうが私より背が低いです！,アーミヤ
character,,,,,
name,哇哇！,孩童,,わああ！,子供
name,那，那我们试试吧......嗯......能不能帮我抬一下那块板子？一起来吧！,孩童,,じゃ、じゃあやってみよう……うん……あの板を一緒に持ち上げてくれますか？,子供
name,那个铁架下面，有台留声机，我想拿回去。,孩童,,その鉄の棚の下に蓄音機があって、持って帰りたいんだ。,子供
character,,char_002_amiya_1,,,
name,好的。,阿米娅,,わかりました。,アーミヤ
character,,,,,
name,1......2......3！嘿！,孩童,,いち……に……さん！えいっ！,子供
character,,char_002_amiya_1#2,,,
name,成功了！,阿米娅,,成功しました！,アーミヤ
character,,char_002_amiya_1,,,
name,......,阿米娅,,......,
